geometry_id,system,split,sample_kind,region,donor_distance_angstrom,transfer_distance_angstrom,base_energy_eV,base_bond_energy_eV,base_overcoord_energy_eV,base_angle_energy_eV,component_sum_error_eV,base_force_rms_eV_per_angstrom,base_force_max_eV_per_angstrom
h3_dense_transfer_0008,h3,train,dense_transfer_scan,transfer_microscope,0.8428571429,1.0,-2.2655977829454343,-7.447062077404816,5.181464294459381,0.0,0.0,32.40627590326931,40.96633194235096
h3_dense_transfer_0009,h3,train,dense_transfer_scan,transfer_microscope,0.8428571429,1.02,-3.0324281427051076,-6.998751118983602,3.9663229762784944,0.0,0.0,31.70915347952151,40.1110269051392
h3_dense_transfer_0010,h3,train,dense_transfer_scan,transfer_microscope,0.8428571429,1.04,-3.7268847885906657,-6.522498626169796,2.7956138375791295,0.0,-4.440892098500626e-16,26.69925661435017,33.962020410389385
h3_dense_transfer_0011,h3,train,dense_transfer_scan,transfer_microscope,0.8428571429,1.06,-4.260131127385577,-6.045729810548163,1.7855986831625876,0.0,1.7763568394002505e-15,18.887451906427813,24.360018012123117
h3_dense_transfer_0012,h3,train,dense_transfer_scan,transfer_microscope,0.8428571429,1.08,-4.5866423179912195,-5.594480966989009,1.007838648997789,0.0,0.0,10.269797414127378,13.705515213317476
h3_dense_transfer_0013,h3,train,dense_transfer_scan,transfer_microscope,0.8428571429,1.1,-4.709741259044911,-5.1918543967906885,0.4821131377457769,0.0,-8.881784197001252e-16,3.126817418438867,4.38435047998225
h3_dense_transfer_0014,h3,train,dense_transfer_scan,transfer_microscope,0.8428571429,1.12,-4.675599665578629,-4.856750708916916,0.18115104333828727,0.0,0.0,3.1886040288086575,4.479172276580973
h3_dense_transfer_0015,h3,train,dense_transfer_scan,transfer_microscope,0.8428571429,1.14,-4.557396912342055,-4.602941903516729,0.04554499117467471,0.0,0.0,4.744090119619003,6.66792082869169
h3_dense_transfer_0016,h3,train,dense_transfer_scan,transfer_microscope,0.8428571429,1.16,-4.433607410718852,-4.4385222839827865,0.004914873263934517,0.0,0.0,3.6661752331389774,5.183494093494856
h3_dense_transfer_0017,h3,train,dense_transfer_scan,transfer_microscope,0.8428571429,1.18,-4.365730994607459,-4.365747469190865,1.647458340591918e-05,0.0,0.0,1.9027678468117026,2.6907571328518802
h3_dense_transfer_0018,h3,train,dense_transfer_scan,transfer_microscope,0.8428571429,1.2,-4.36141102726101,-4.36141102726101,0.0,0.0,0.0,2.1969939990804512,2.6907571328518802
h3_dense_transfer_0019,h3,train,dense_transfer_scan,transfer_microscope,0.8428571429,1.22,-4.36141102726101,-4.36141102726101,0.0,0.0,0.0,2.1969939990804512,2.6907571328518802
h3_dense_transfer_0020,h3,train,dense_transfer_scan,transfer_microscope,0.8428571429,1.24,-4.36141102726101,-4.36141102726101,0.0,0.0,0.0,2.1969939990804512,2.6907571328518802
h3_dense_transfer_0021,h3,train,dense_transfer_scan,transfer_microscope,0.8428571429,1.26,-4.36141102726101,-4.36141102726101,0.0,0.0,0.0,2.1969939990804512,2.6907571328518802
h3_dense_transfer_0022,h3,train,dense_transfer_scan,transfer_microscope,0.8428571429,1.28,-4.36141102726101,-4.36141102726101,0.0,0.0,0.0,2.1969939990804512,2.6907571328518802
water_reactant_reference_0000,water,train,reactant_reference,reactant_reference,0.96,5.0,-15.151074770159095,-15.483712552842206,0.0002882458339143695,0.3323495368491969,0.0,1.1943373051199262,1.6767316312345555
water_product_reference_0000,water,train,product_reference,product_reference,5.0,0.96,-15.151074770159095,-15.483712552842208,0.0002882458339143992,0.3323495368491975,-1.7763568394002505e-15,1.1943373051199433,1.6767316312345568
water_dense_transfer_0000,water,train,dense_transfer_scan,transfer_microscope,1.0285714286,1.08,-4.19825178009963,-20.48880734270736,11.356584763084658,4.933970799523074,1.7763568394002505e-15,41.341959503897236,65.94966944785183
water_dense_transfer_0001,water,train,dense_transfer_scan,transfer_microscope,1.0285714286,1.1,-5.460128044468288,-20.365916590147833,10.510689129015136,4.395099416664411,8.881784197001252e-16,37.01031160280221,59.27663460642269
water_dense_transfer_0002,water,train,dense_transfer_scan,transfer_microscope,1.0285714286,1.12,-6.574879729254351,-20.239906131701588,9.792054079423385,3.87297232302385,-8.881784197001252e-16,32.40772953144546,52.14024682512092
water_dense_transfer_0003,water,train,dense_transfer_scan,transfer_microscope,1.0285714286,1.14,-7.537709150029441,-20.112038592485717,9.202304735790843,3.3720247066654365,3.552713678800501e-15,27.734350318109257,44.85910635377978
water_dense_transfer_0004,water,train,dense_transfer_scan,transfer_microscope,1.0285714286,1.16,-8.349629429910593,-19.9833830074216,8.736892002266082,2.8968615752449303,3.552713678800501e-15,23.161222505932564,37.70474220436264
water_dense_transfer_0005,water,train,dense_transfer_scan,transfer_microscope,1.0285714286,1.18,-9.016425892021687,-19.85483250225615,8.385942508945536,2.4524641012889314,3.552713678800501e-15,18.824279466653476,30.891599828094005
water_dense_transfer_0006,water,train,dense_transfer_scan,transfer_microscope,1.0285714286,1.2,-9.547461732507902,-19.727121548092924,8.135392785737597,2.0442670298474246,0.0,14.821613190200953,24.57161882179656
water_dense_transfer_0007,water,train,dense_transfer_scan,transfer_microscope,1.0285714286,1.22,-10.073746105606238,-19.564305717572918,7.818917683718239,1.67164192824844,1.7763568394002505e-15,15.433627009006713,27.513431800494555
water_dense_transfer_0008,water,train,dense_transfer_scan,transfer_microscope,1.0285714286,1.24,-10.689956994202252,-19.335426257685967,7.306842902291521,1.3386263611921931,0.0,17.00623492659162,30.792182491782192
water_dense_transfer_0009,water,train,dense_transfer_scan,transfer_microscope,1.0285714286,1.26,-11.343074064998635,-19.050193210873097,6.648318901477379,1.0588002443970832,0.0,18.478632586153715,32.261139559824585
water_dense_transfer_0010,water,train,dense_transfer_scan,transfer_microscope,1.0285714286,1.28,-12.032976512001198,-18.720022066193714,5.8448331288261075,0.8422124253664084,0.0,20.22567829909211,33.84740225353954
