step,time_fs,potential_eV,kinetic_eV,total_eV,energy_drift_eV,component_count,largest_component_edges,capped_steps,rebuild_count,bridge_distance_A
30,0.03000000000000002,-5.039464222996294,0.1977134652725782,-4.841750757723716,1.1249259301848724e-09,1,5,0,1,1.1850921516683268
31,0.03100000000000002,-5.039588077946094,0.197837320340881,-4.8417507576052135,1.2434284712981025e-09,1,5,0,1,1.18504813403435
32,0.03200000000000002,-5.039716006370491,0.19796524888339814,-4.841750757487093,1.3615490956908616e-09,1,5,0,1,1.18500431330191
33,0.03300000000000002,-5.039848010178253,0.19809725280890725,-4.841750757369346,1.4792957969689269e-09,1,5,0,1,1.1849606895176805
34,0.03400000000000002,-5.0399840912716725,0.19823333401966883,-4.8417507572520035,1.5966383770660286e-09,1,5,0,1,1.1849172627281153
35,0.035000000000000024,-5.040124251546464,0.19837349441139482,-4.8417507571350695,1.7135723950900683e-09,1,5,0,1,1.1848740329794456
36,0.036000000000000025,-5.04026849289175,0.19851773587321778,-4.841750757018532,1.8301102855389217e-09,1,5,0,1,1.184831000317681
37,0.037000000000000026,-5.040416817190048,0.19866606028765968,-4.841750756902388,1.9462538247694283e-09,1,5,0,1,1.184788164788607
38,0.03800000000000003,-5.04056922631725,0.19881846953060067,-4.84175075678665,2.0619923546405516e-09,1,5,0,1,1.1847455264377889
39,0.03900000000000003,-5.0407257221425406,0.19897496547124874,-4.841750756671292,2.1773498559696236e-09,1,5,0,1,1.1847030853105665
40,0.04000000000000003,-5.040886306528456,0.1991355499721081,-4.8417507565563485,2.2922934661551153e-09,1,5,0,1,1.1846608414520592
41,0.04100000000000003,-5.041050981330752,0.19930022488894894,-4.841750756441803,2.4068391724085814e-09,1,5,0,1,1.184618794907161
42,0.04200000000000003,-5.041219748398483,0.19946899207077637,-4.8417507563277065,2.520935460381679e-09,1,5,0,1,1.1845769457205435
43,0.04300000000000003,-5.041392609573803,0.19964185335979992,-4.841750756214003,2.6346391734932695e-09,1,5,0,1,1.1845352939366496
44,0.04400000000000003,-5.041569566692123,0.19981881059140275,-4.841750756100721,2.7479210018555023e-09,1,5,0,1,1.1844938395997016
45,0.04500000000000003,-5.041750621581975,0.1999998655941113,-4.841750755987864,2.8607782809331184e-09,1,5,0,1,1.1844525827536962
46,0.046000000000000034,-5.041935776064968,0.20018502018956444,-4.841750755875404,2.973237656078709e-09,1,5,0,1,1.1844115234424013
