geometry_id,system,transfer_distance_angstrom,fixed_donor_distance_angstrom,taper_inner_angstrom,taper_outer_angstrom,base_relative_eV,qm_relative_eV,residual_target_eV,base_bond_energy_eV,base_overcoord_energy_eV,base_angle_energy_eV,base_force_max_eV_per_angstrom
water_dense_transfer_0007,water,1.22,1.0285714286,1.2,1.536,5.077328664552857,0.817503181574466,-4.259825482978391,-19.564305717572918,7.818917683718239,1.67164192824844,27.513431800494555
water_dense_transfer_0008,water,1.24,1.0285714286,1.2,1.536,4.4611177759568434,0.769930171645683,-3.6911876043111604,-19.335426257685967,7.306842902291521,1.3386263611921931,30.792182491782192
water_dense_transfer_0009,water,1.26,1.0285714286,1.2,1.536,3.8080007051604596,0.7262064617707438,-3.081794243389716,-19.050193210873097,6.648318901477379,1.0588002443970832,32.261139559824585
water_dense_transfer_0010,water,1.28,1.0285714286,1.2,1.536,3.1180982581578967,0.6858717802469982,-2.4322264779108984,-18.720022066193714,5.8448331288261075,0.8422124253664084,33.84740225353954
water_dense_transfer_0011,water,1.3,1.0285714286,1.2,1.536,2.423072006923338,0.6485493712743846,-1.7745226356489532,-18.357463901798138,4.940187466634623,0.6892736719277583,32.94679860832987
water_dense_transfer_0012,water,1.32,1.0285714286,1.2,1.536,1.772912147716406,0.6139266136888182,-1.1589855340275879,-17.975628499665817,3.9979472654043233,0.599518611818803,31.674490084575428
water_dense_transfer_0013,water,1.34,1.0285714286,1.2,1.536,1.2084972561058969,0.7600522596394512,-0.44844499646644564,-17.58745458178416,3.081304067574278,0.563573000156685,28.96929516626694
water_dense_transfer_0014,water,1.36,1.0285714286,1.2,1.536,0.727390075988378,0.7069965788841728,-0.020393497104205238,-17.204247839771135,2.2459845631602184,0.5345785824402,24.39562131808115
water_dense_transfer_0015,water,1.38,1.0285714286,1.2,1.536,0.3504659289637164,0.6566400766541847,0.30617414769046825,-16.837591865647184,1.5334464898154545,0.5035365346363507,18.7061215431635
water_dense_transfer_0016,water,1.4,1.0285714286,1.2,1.536,0.09171436926856025,0.6089251453677207,0.5172107760991604,-16.49801324502662,0.9671364783872637,0.47151636574882233,12.756946538994484
