geometry_id,system,sample_kind,region,transfer_distance_angstrom,donor_distance_angstrom,qm_energy_eV,hstate_energy_eV,sapt_hstate_energy_eV,hstate_force_max_eV_per_angstrom,sapt_hstate_force_max_eV_per_angstrom,qm_relative_eV,hstate_relative_eV,sapt_hstate_relative_eV,hstate_residual_eV,sapt_hstate_residual_eV
water_dense_transfer_0027,water,dense_transfer_scan,transfer_microscope,1.62,1.0285714286,-4138.879066206727,-15.039030186499849,-15.039030186499849,4.121722291126234,4.121722291126234,0.24016181171737117,0.0959791359877098,0.09773883234917058,0.14418267572966137,0.1424229793682006
water_dense_transfer_0028,water,dense_transfer_scan,transfer_microscope,1.64,1.0285714286,-4138.900530246584,-15.039030186499849,-15.039030186499849,4.121722291126234,4.121722291126234,0.21869777186020656,0.0959791359877098,0.09773883234917058,0.12271863587249676,0.12095893951103598
formaldehyde_reactant_reference_0000,formaldehyde,reactant_reference,reactant_reference,5.0,1.09,-3128.712103255752,-15.278360339065305,-15.278360339065305,0.5909819377291787,0.5909819377291787,0.0,0.0,0.0,0.0,0.0
formaldehyde_product_reference_0000,formaldehyde,product_reference,product_reference,0.74144,5.0,-3129.2079963042843,-15.716946152270513,-15.71694615227051,2.1916024948796298,2.1916024948796298,-0.4958930485322526,-0.43858581320520784,-0.4385858132052043,-0.05730723532704474,-0.05730723532704829
formaldehyde_dense_transfer_0000,formaldehyde,dense_transfer_scan,transfer_microscope,0.84,1.3857142857,-3128.5198545859234,-15.558696945785833,-14.599332102710466,2.6316801209237504,2.5357876639647072,0.19224866982858657,-0.2803366067205282,0.6790282363548386,0.47258527654911475,-0.486779566526252
formaldehyde_dense_transfer_0001,formaldehyde,dense_transfer_scan,transfer_microscope,0.86,1.3857142857,-3128.538540172527,-15.559440092718685,-14.623477047760407,2.572588668676488,2.169996217240579,0.1735630832249626,-0.2810797536533798,0.6548832913048983,0.4546428368783424,-0.4813202080799357
formaldehyde_dense_transfer_0002,formaldehyde,dense_transfer_scan,transfer_microscope,0.88,1.3857142857,-3128.550174803572,-15.556813972424669,-14.645428271477343,2.4503508828429603,1.7989013367707052,0.1619284521798363,-0.2784536333593639,0.6329320675879622,0.4403820855392002,-0.47100361540812585
formaldehyde_dense_transfer_0003,formaldehyde,dense_transfer_scan,transfer_microscope,0.9,1.3857142857,-3128.5556879220735,-15.551737835616924,-14.665835497099915,2.2729434017495453,1.4260304835217572,0.1564153336785239,-0.27337749655161936,0.6125248419653904,0.42979283023014325,-0.45610950828686647
formaldehyde_dense_transfer_0004,formaldehyde,dense_transfer_scan,transfer_microscope,0.92,1.3857142857,-3128.55591278455,-15.545000454999599,-14.685222240463503,2.0486185376871884,1.054806207876747,0.15619047120208052,-0.26664011593429393,0.593138098601802,0.42283058713637445,-0.4369476273997215
formaldehyde_dense_transfer_0005,formaldehyde,dense_transfer_scan,transfer_microscope,0.94,1.3857142857,-3128.551597634878,-15.517447960239178,-14.691765364531587,4.693763148681495,1.8763052511940688,0.1605056208741189,-0.23908762117387283,0.5865949745337176,0.39959324204799174,-0.42608935365959866
formaldehyde_dense_transfer_0006,formaldehyde,dense_transfer_scan,transfer_microscope,0.96,1.3857142857,-3128.543415087589,-15.411326242890174,-14.65160377933013,7.919097300900552,3.281095110982047,0.16868816816304388,-0.1329659038248696,0.6267565597351741,0.3016540719879135,-0.4580683915721302
