step,time_fs,old_total_eV,new_total_eV,old_drift_eV,new_drift_eV,max_position_difference_A,max_velocity_difference_A_per_fs,max_force_difference_eV_per_A,energy_difference_eV,old_capped_steps,new_capped_steps
490,24.500000000000213,-3.658244258393682,-3.658244258393682,-4.1117493661424476e-05,-4.1117493661424476e-05,0.0,0.0,0.0,0.0,0,0
500,25.00000000000022,-3.658263960129718,-3.658263960129718,-6.0819229697806065e-05,-6.0819229697806065e-05,0.0,0.0,0.0,0.0,0,0
510,25.500000000000227,-3.6583324347630657,-3.6583324347630657,-0.00012929386304527668,-0.00012929386304527668,0.0,0.0,0.0,0.0,0,0
520,26.000000000000234,-3.658286178497195,-3.658286178497195,-8.303759717476211e-05,-8.303759717476211e-05,0.0,0.0,0.0,0.0,0,0
530,26.50000000000024,-3.6580284422176215,-3.6580284422176215,0.00017469868239894382,0.00017469868239894382,0.0,0.0,0.0,0.0,0,0
540,27.00000000000025,-3.657930155786131,-3.657930155786131,0.0002729851138894013,0.0002729851138894013,0.0,0.0,0.0,0.0,0,0
550,27.500000000000256,-3.6580788503513064,-3.6580788503513064,0.00012429054871399003,0.00012429054871399003,0.0,0.0,0.0,0.0,0,0
560,28.000000000000263,-3.658328143171896,-3.658328143171896,-0.00012500227187572932,-0.00012500227187572932,0.0,0.0,0.0,0.0,0,0
570,28.50000000000027,-3.6581121339945177,-3.6581121339945177,9.100690550267743e-05,9.100690550267743e-05,0.0,0.0,0.0,0.0,0,0
580,29.000000000000277,-3.6580944318455715,-3.6580944318455715,0.00010870905444892998,0.00010870905444892998,0.0,0.0,0.0,0.0,0,0
590,29.500000000000284,-3.658074920005135,-3.658074920005135,0.00012822089488562227,0.00012822089488562227,0.0,0.0,0.0,0.0,0,0
600,30.00000000000029,-3.658061126837387,-3.658061126837387,0.00014201406263358862,0.00014201406263358862,0.0,0.0,0.0,0.0,0,0
