geometry_id,system,sample_kind,region,transfer_distance_angstrom,donor_distance_angstrom,qm_energy_eV,hstate_energy_eV,hard_valence_energy_eV,over_delta_eV,angle_delta_eV,original_heavy_over_eV,selected_heavy_over_eV,original_heavy_angle_eV,selected_heavy_angle_eV,qm_relative_eV,hstate_relative_eV,hard_valence_relative_eV,hstate_residual_eV,hard_valence_residual_eV
water_dense_transfer_0015,water,dense_transfer_scan,transfer_microscope,1.38,1.0285714286,-4138.46258794179,-14.762859958990102,-14.762859958990102,0.0,0.0,0.0,0.0,0.5035365346363507,0.5035365346363507,0.6566400766541847,0.3721493634974564,0.3721493634974564,0.28449071315672825,0.28449071315672825
water_dense_transfer_0016,water,dense_transfer_scan,transfer_microscope,1.4,1.0285714286,-4138.510302873076,-14.795642476173075,-14.795642476173075,0.0,0.0,0.0,0.0,0.47151636574882233,0.47151636574882233,0.6089251453677207,0.33936684631448344,0.33936684631448344,0.26955829905323725,0.26955829905323725
water_dense_transfer_0017,water,dense_transfer_scan,transfer_microscope,1.42,1.0285714286,-4138.5554243140605,-14.83449400707593,-14.83449400707593,0.0,0.0,0.0,0.0,0.4397931999418743,0.4397931999418743,0.5638037043836448,0.30051531541162824,0.30051531541162824,0.26328838897201656,0.26328838897201656
water_dense_transfer_0018,water,dense_transfer_scan,transfer_microscope,1.44,1.0285714286,-4138.598031232143,-14.880480607038969,-14.880480607038969,0.0,0.0,0.0,0.0,0.40978549830367456,0.40978549830367456,0.5211967863015161,0.2545287154485898,0.2545287154485898,0.2666680708529263,0.2666680708529263
water_dense_transfer_0019,water,dense_transfer_scan,transfer_microscope,1.46,1.0285714286,-4138.638147471282,-14.930462397254265,-14.930462397254265,0.0,0.0,0.0,0.0,0.38296434833055626,0.38296434833055626,0.4810805471624917,0.2045469252332932,0.2045469252332932,0.2765336219291985,0.2765336219291985
water_dense_transfer_0020,water,dense_transfer_scan,transfer_microscope,1.48,1.0285714286,-4138.675826062988,-14.977394087484917,-14.977394087484917,0.0,0.0,0.0,0.0,0.36074259480251175,0.36074259480251175,0.44340195545646566,0.15761523500264119,0.15761523500264119,0.28578672045382447,0.28578672045382447
water_dense_transfer_0021,water,dense_transfer_scan,transfer_microscope,1.5,1.0285714286,-4138.7112036449325,-15.013498561270788,-15.013498561270788,0.0,0.0,0.0,0.0,0.34435617367862625,0.34435617367862625,0.40802437351158005,0.12151076121677029,0.12151076121677029,0.28651361229480976,0.28651361229480976
water_dense_transfer_0022,water,dense_transfer_scan,transfer_microscope,1.52,1.0285714286,-4138.744332962799,-15.034122974778452,-15.034122974778452,0.0,0.0,0.0,0.0,0.33475241350186663,0.33475241350186663,0.3748950556455384,0.10088634770910687,0.10088634770910687,0.2740087079364315,0.2740087079364315
water_dense_transfer_0023,water,dense_transfer_scan,transfer_microscope,1.54,1.0285714286,-4138.775243356848,-15.039030186499849,-15.039030186499849,0.0,0.0,0.0,0.0,0.3323495368491969,0.3323495368491969,0.3439846615965507,0.0959791359877098,0.0959791359877098,0.24800552560884093,0.24800552560884093
water_dense_transfer_0024,water,dense_transfer_scan,transfer_microscope,1.56,1.0285714286,-4138.804090220661,-15.039030186499849,-15.039030186499849,0.0,0.0,0.0,0.0,0.3323495368491969,0.3323495368491969,0.31513779778288153,0.0959791359877098,0.0959791359877098,0.21915866179517174,0.21915866179517174
water_dense_transfer_0025,water,dense_transfer_scan,transfer_microscope,1.58,1.0285714286,-4138.830993008928,-15.039030186499849,-15.039030186499849,0.0,0.0,0.0,0.0,0.3323495368491969,0.3323495368491969,0.2882350095160291,0.0959791359877098,0.0959791359877098,0.1922558735283193,0.1922558735283193
water_dense_transfer_0026,water,dense_transfer_scan,transfer_microscope,1.6,1.0285714286,-4138.855954871499,-15.039030186499849,-15.039030186499849,0.0,0.0,0.0,0.0,0.3323495368491969,0.3323495368491969,0.26327314694481174,0.0959791359877098,0.0959791359877098,0.16729401095710195,0.16729401095710195
water_dense_transfer_0027,water,dense_transfer_scan,transfer_microscope,1.62,1.0285714286,-4138.879066206727,-15.039030186499849,-15.039030186499849,0.0,0.0,0.0,0.0,0.3323495368491969,0.3323495368491969,0.24016181171737117,0.0959791359877098,0.0959791359877098,0.14418267572966137,0.14418267572966137
water_dense_transfer_0028,water,dense_transfer_scan,transfer_microscope,1.64,1.0285714286,-4138.900530246584,-15.039030186499849,-15.039030186499849,0.0,0.0,0.0,0.0,0.3323495368491969,0.3323495368491969,0.21869777186020656,0.0959791359877098,0.0959791359877098,0.12271863587249676,0.12271863587249676
formaldehyde_reactant_reference_0000,formaldehyde,reactant_reference,reactant_reference,5.0,1.09,-3128.712103255752,-15.278360339065305,-15.278360339065305,0.0,0.0,0.0,0.0,0.010966227108591846,0.010966227108591846,0.0,0.0,0.0,0.0,0.0
formaldehyde_product_reference_0000,formaldehyde,product_reference,product_reference,0.74144,5.0,-3129.2079963042843,-15.716946152270513,-15.716946152270513,0.0,0.0,0.0,0.0,0.32695920367750403,0.32695920367750403,-0.4958930485322526,-0.43858581320520784,-0.43858581320520784,-0.05730723532704474,-0.05730723532704474
formaldehyde_dense_transfer_0000,formaldehyde,dense_transfer_scan,transfer_microscope,0.84,1.3857142857,-3128.5198545859234,-15.558696945785833,-15.558696945785833,0.0,0.0,0.0,0.0,0.01090617376001588,0.01090617376001588,0.19224866982858657,-0.2803366067205282,-0.2803366067205282,0.47258527654911475,0.47258527654911475
formaldehyde_dense_transfer_0001,formaldehyde,dense_transfer_scan,transfer_microscope,0.86,1.3857142857,-3128.538540172527,-15.559440092718685,-15.559440092718685,0.0,0.0,0.0,0.0,0.01090617376001588,0.01090617376001588,0.1735630832249626,-0.2810797536533798,-0.2810797536533798,0.4546428368783424,0.4546428368783424
formaldehyde_dense_transfer_0002,formaldehyde,dense_transfer_scan,transfer_microscope,0.88,1.3857142857,-3128.550174803572,-15.556813972424669,-15.556813972424669,0.0,0.0,0.0,0.0,0.01090617376001588,0.01090617376001588,0.1619284521798363,-0.2784536333593639,-0.2784536333593639,0.4403820855392002,0.4403820855392002
formaldehyde_dense_transfer_0003,formaldehyde,dense_transfer_scan,transfer_microscope,0.9,1.3857142857,-3128.5556879220735,-15.551737835616924,-15.551737835616924,0.0,0.0,0.0,0.0,0.01090617376001588,0.01090617376001588,0.1564153336785239,-0.27337749655161936,-0.27337749655161936,0.42979283023014325,0.42979283023014325
formaldehyde_dense_transfer_0004,formaldehyde,dense_transfer_scan,transfer_microscope,0.92,1.3857142857,-3128.55591278455,-15.545000454999599,-15.545000454999599,0.0,0.0,0.0,0.0,0.01090617376001588,0.01090617376001588,0.15619047120208052,-0.26664011593429393,-0.26664011593429393,0.42283058713637445,0.42283058713637445
formaldehyde_dense_transfer_0005,formaldehyde,dense_transfer_scan,transfer_microscope,0.94,1.3857142857,-3128.551597634878,-15.517447960239178,-15.517447960239178,0.0,0.0,0.0,0.0,0.01090617376001588,0.01090617376001588,0.1605056208741189,-0.23908762117387283,-0.23908762117387283,0.39959324204799174,0.39959324204799174
formaldehyde_dense_transfer_0006,formaldehyde,dense_transfer_scan,transfer_microscope,0.96,1.3857142857,-3128.543415087589,-15.411326242890174,-15.411326242890174,0.0,0.0,0.0,0.0,0.01090617376001588,0.01090617376001588,0.16868816816304388,-0.1329659038248696,-0.1329659038248696,0.3016540719879135,0.3016540719879135
formaldehyde_dense_transfer_0007,formaldehyde,dense_transfer_scan,transfer_microscope,0.98,1.3857142857,-3128.531969909391,-15.242699664389281,-15.242699664389281,0.0,0.0,0.0,0.0,0.01090617376001588,0.01090617376001588,0.18013334636088985,0.03566067467602352,0.03566067467602352,0.14447267168486633,0.14447267168486633
