example,pair,distance_A,r0_A,width_per_A,stretch_ratio,dr_A,taper,order,morse_overlap,inner_cutoff_A,outer_cutoff_A,below_bad_water_ceiling
CH4 C-H,C-H,1.1403,1.086,1.8,1.05,0.054300000000000015,1.0,1.0,0.9068846631162859,1.3575000000000002,1.7376000000000003,0
CH4 C-H,C-H,1.1946,1.086,1.8,1.1,0.10860000000000003,1.0,1.0,0.8224397921955394,1.3575000000000002,1.7376000000000003,0
CH4 C-H,C-H,1.20996864,1.086,1.8,1.1141516022099447,0.12396863999999996,1.0,1.0,0.7999999994513679,1.3575000000000002,1.7376000000000003,0
CH4 C-H,C-H,1.2489,1.086,1.8,1.15,0.16289999999999982,1.0,1.0,0.7458580338786802,1.3575000000000002,1.7376000000000003,0
CH4 C-H,C-H,1.3032,1.086,1.8,1.1999999999999997,0.21719999999999984,1.0,1.0,0.6764072117866423,1.3575000000000002,1.7376000000000003,0
CH4 C-H,C-H,1.3575,1.086,1.8,1.2499999999999998,0.27149999999999985,1.0,1.0,0.6134233263905553,1.3575000000000002,1.7376000000000003,0
CH4 C-H,C-H,1.36979201,1.086,1.8,1.2613186095764273,0.28379201,0.9974218021675016,1.002571550728435,0.6000000034595944,1.3575000000000002,1.7376000000000003,0
CH4 C-H,C-H,1.4118,1.086,1.8,1.2999999999999998,0.32579999999999987,0.95048443395121,1.0470637747676579,0.5563042067013703,1.3575000000000002,1.7376000000000003,0
CH4 C-H,C-H,1.5204,1.086,1.8,1.4,0.4343999999999999,0.6112604669781581,1.2376211084878022,0.4575267161569794,1.3575000000000002,1.7376000000000003,0
CH4 C-H,C-H,1.59505041,1.086,1.8,1.4687388674033148,0.50905041,0.3087044445445857,1.2134060104630044,0.39999999754966203,1.3575000000000002,1.7376000000000003,0
CH4 C-H,C-H,1.629,1.086,1.8,1.5,0.5429999999999999,0.18825509907063398,1.1528151167445397,0.3762881773600536,1.3575000000000002,1.7376000000000003,0
CH4 C-H,C-H,1.7375,1.086,1.8,1.5999079189686924,0.6515,1.7078274516801883e-07,1.0000000000014926,0.3095300807940972,1.3575000000000002,1.7376000000000003,0
CH2O C-H,C-H,1.0859999999999999,1.086,1.8,0.9999999999999998,-2.220446049250313e-16,1.0,1.0,1.0000000000000004,1.3575000000000002,1.7376000000000003,0
CH2O C-H,C-H,1.1403,1.086,1.8,1.05,0.054300000000000015,1.0,1.0,0.9068846631162859,1.3575000000000002,1.7376000000000003,0
CH2O C-H,C-H,1.1946,1.086,1.8,1.1,0.10860000000000003,1.0,1.0,0.8224397921955394,1.3575000000000002,1.7376000000000003,0
CH2O C-H,C-H,1.2099686399999998,1.086,1.8,1.1141516022099445,0.12396863999999974,1.0,1.0,0.7999999994513681,1.3575000000000002,1.7376000000000003,0
CH2O C-H,C-H,1.2489,1.086,1.8,1.15,0.16289999999999982,1.0,1.0,0.7458580338786802,1.3575000000000002,1.7376000000000003,0
CH2O C-H,C-H,1.3031999999999997,1.086,1.8,1.1999999999999997,0.21719999999999962,1.0,1.0,0.6764072117866425,1.3575000000000002,1.7376000000000003,0
CH2O C-H,C-H,1.3574999999999997,1.086,1.8,1.2499999999999996,0.27149999999999963,1.0,1.0,0.6134233263905555,1.3575000000000002,1.7376000000000003,0
CH2O C-H,C-H,1.36979201,1.086,1.8,1.2613186095764273,0.28379201,0.9974218021675016,1.0025649377674852,0.6000000034595944,1.3575000000000002,1.7376000000000003,0
CH2O C-H,C-H,1.4118,1.086,1.8,1.2999999999999998,0.32579999999999987,0.95048443395121,1.0448381324484683,0.5563042067013703,1.3575000000000002,1.7376000000000003,0
CH2O C-H,C-H,1.5203999999999998,1.086,1.8,1.3999999999999997,0.4343999999999997,0.6112604669781591,1.1629837916901378,0.45752671615697954,1.3575000000000002,1.7376000000000003,0
CH2O C-H,C-H,1.5950504099999998,1.086,1.8,1.4687388674033146,0.5090504099999997,0.30870444454458673,1.091825413969788,0.39999999754966226,1.3575000000000002,1.7376000000000003,0
CH2O C-H,C-H,1.6289999999999998,1.086,1.8,1.4999999999999998,0.5429999999999997,0.1882550990706348,1.0452116597803351,0.37628817736005377,1.3575000000000002,1.7376000000000003,0
CH2O C-H,C-H,1.7374999999999998,1.086,1.8,1.5999079189686922,0.6514999999999997,1.7078274516801883e-07,1.0000000000000584,0.3095300807940974,1.3575000000000002,1.7376000000000003,0
CH2O C-O,C-O,1.427,1.427,1.95,1.0,0.0,1.0,2.0,1.0,1.78375,2.2832000000000003,0
CH2O C-O,C-O,1.49835,1.427,1.95,1.05,0.07135000000000002,1.0,2.0,0.8701127308831139,1.78375,2.2832000000000003,0
CH2O C-O,C-O,1.54143259,1.427,1.95,1.080191023125438,0.11443259000000006,1.0,2.0,0.8000000006513678,1.78375,2.2832000000000003,0
CH2O C-O,C-O,1.5697,1.427,1.95,1.1,0.14270000000000005,1.0,2.0,0.7570961644448702,1.78375,2.2832000000000003,0
CH2O C-O,C-O,1.64105,1.427,1.95,1.15,0.21404999999999985,1.0,2.0,0.6587590111862573,1.78375,2.2832000000000003,0
CH2O C-O,C-O,1.68896186,1.427,1.95,1.183575234758234,0.26196186,1.0,2.0,0.5999999980595944,1.78375,2.2832000000000003,0
CH2O C-O,C-O,1.7124,1.427,1.95,1.2,0.2853999999999999,1.0,2.0,0.5731946022171341,1.78375,2.2832000000000003,0
CH2O C-O,C-O,1.78375,1.427,1.95,1.25,0.3567499999999999,1.0,2.0,0.49874392066261075,1.78375,2.2832000000000003,0
CH2O C-O,C-O,1.8551,1.427,1.95,1.3,0.4280999999999999,0.9504844339512096,1.997548208718868,0.4339634348190953,1.78375,2.2832000000000003,0
CH2O C-O,C-O,1.89689268,1.427,1.95,1.3292870918009811,0.46989268000000006,0.8786331005845676,1.9852700757262842,0.400000002349662,1.78375,2.2832000000000003,0
CH2O C-O,C-O,1.9978,1.427,1.95,1.4,0.5708,0.6112604669781576,1.8488815754659598,0.32855205201085846,1.78375,2.2832000000000003,0
CH2O C-O,C-O,2.1405,1.427,1.95,1.4999999999999998,0.7134999999999998,0.18825509907063415,1.341070215815174,0.24874549839791255,1.78375,2.2832000000000003,0
CH2O C-O,C-O,2.25235278,1.427,1.95,1.5783831674842326,0.8253527799999998,0.0093826347024355,1.0186772355709117,0.19999999828682016,1.78375,2.2832000000000003,0
CH2O C-O,C-O,2.2831,1.427,1.95,1.5999299229152069,0.8561000000000001,9.891353086599608e-08,1.0000000000023195,0.18836098957197306,1.78375,2.2832000000000003,0
H2O O-H,O-H,0.96,0.96,2.18,1.0,0.0,1.0,1.0,1.0,1.2,1.536,0
H2O O-H,O-H,1.008,0.96,2.18,1.05,0.04800000000000004,1.0,1.0,0.9006486977624272,1.2,1.536,0
H2O O-H,O-H,1.056,0.96,2.18,1.1,0.09600000000000009,1.0,1.0,0.811168076781156,1.2,1.536,0
H2O O-H,O-H,1.06235943,0.96,2.18,1.1066244062500001,0.10235943000000014,1.0,1.0,0.7999999951313675,1.2,1.536,0
H2O O-H,O-H,1.104,0.96,2.18,1.1500000000000001,0.14400000000000013,1.0,1.0,0.7305774720194006,1.2,1.536,0
H2O O-H,O-H,1.152,0.96,2.18,1.2,0.19199999999999995,1.0,1.0,0.6579936487888396,1.2,1.536,0
H2O O-H,O-H,1.19432368,0.96,2.18,1.2440871666666669,0.23432368000000015,1.0,1.0,0.6000000008195941,1.2,1.536,0
H2O O-H,O-H,1.2,0.96,2.18,1.25,0.24,1.0,1.0,0.5926211229176163,1.2,1.536,0
H2O O-H,O-H,1.248,0.96,2.18,1.3,0.28800000000000003,0.9504844339512095,1.0470637747676583,0.5337434426222584,1.2,1.536,0
H2O O-H,O-H,1.344,0.96,2.18,1.4000000000000001,0.3840000000000001,0.6112604669781568,1.2376211084878024,0.4329556418464506,1.2,1.536,0
H2O O-H,O-H,1.38031685,0.96,2.18,1.4378300520833334,0.4203168500000001,0.4425460533999713,1.2466990440200811,0.399999999549662,1.2,1.536,0
H2O O-H,O-H,1.44,0.96,2.18,1.5,0.48,0.18825509907063342,1.1528151167445395,0.35119979532813644,1.2,1.536,0
H2O O-H,O-H,1.5359,0.96,2.18,1.5998958333333335,0.5759000000000001,2.1855521192826188e-07,1.0000000000031273,0.2849441736017537,1.2,1.536,0
H2O2 O-O,O-O,1.475,1.475,2.735,1.0,0.0,1.0,1.0,1.0,1.84375,2.3600000000000003,0
H2O2 O-O,O-O,1.54875,1.475,2.735,1.05,0.07374999999999998,1.0,1.0,0.8173349848339495,1.84375,2.3600000000000003,0
H2O2 O-O,O-O,1.55658814,1.475,2.735,1.0553139932203388,0.08158813999999981,1.0,1.0,0.7999999907313683,1.84375,2.3600000000000003,0
H2O2 O-O,O-O,1.6225,1.475,2.735,1.0999999999999999,0.14749999999999996,1.0,1.0,0.6680364774335125,1.84375,2.3600000000000003,0
H2O2 O-O,O-O,1.66177354,1.475,2.735,1.1266261288135593,0.1867735399999999,1.0,1.0,0.5999999951195946,1.84375,2.3600000000000003,0
H2O2 O-O,O-O,1.69625,1.475,2.735,1.15,0.22124999999999995,1.0,1.0,0.546009584151645,1.84375,2.3600000000000003,0
H2O2 O-O,O-O,1.77,1.475,2.735,1.2,0.29499999999999993,1.0,1.0,0.4462727351817758,1.84375,2.3600000000000003,0
H2O2 O-O,O-O,1.81002403,1.475,2.735,1.2271349355932202,0.3350240299999998,1.0,1.0,0.4000000039296623,1.84375,2.3600000000000003,0
H2O2 O-O,O-O,1.84375,1.475,2.735,1.25,0.3687499999999999,1.0,1.0,0.3647543192416019,1.84375,2.3600000000000003,0
H2O2 O-O,O-O,1.9175,1.475,2.735,1.2999999999999998,0.4424999999999999,0.9504844339512096,1.0470637747676583,0.2981264659854523,1.84375,2.3600000000000003,0
H2O2 O-O,O-O,2.06345993,1.475,2.735,1.3989558847457626,0.58845993,0.61582400497799,1.2365847998708586,0.2000000007768201,1.84375,2.3600000000000003,0
H2O2 O-O,O-O,2.065,1.475,2.735,1.4,0.5899999999999999,0.6112604669781577,1.2376211084878024,0.1991593541666234,1.84375,2.3600000000000003,0
H2O2 O-O,O-O,2.10857143,1.475,2.735,1.4295399525423729,0.6335714299999999,0.47963037937668146,1.2495850785556621,0.17678555032492588,1.84375,2.3600000000000003,1
H2O2 O-O,O-O,2.2125,1.475,2.735,1.4999999999999998,0.7374999999999998,0.18825509907063415,1.1528151167445397,0.13304571340540444,1.84375,2.3600000000000003,1
H2O2 O-O,O-O,2.3599,1.475,2.735,1.5999322033898304,0.8849,9.258051902882869e-08,1.0000000000002336,0.08890370155855588,1.84375,2.3600000000000003,1
