geometry_id,system,split,sample_kind,region,donor_distance_angstrom,transfer_distance_angstrom,base_energy_eV,base_bond_energy_eV,base_overcoord_energy_eV,base_angle_energy_eV,component_sum_error_eV,base_force_rms_eV_per_angstrom,base_force_max_eV_per_angstrom
h3_grid_0028,h3,train,grid,off_path,1.1285714286,1.2714285714,-0.3753260149596572,-0.3753260149596572,0.0,0.0,0.0,10.574539741319704,12.951113315507849
h3_grid_0029,h3,train,grid,off_path,1.1285714286,1.4142857143,-0.3753260149596572,-0.3753260149596572,0.0,0.0,0.0,10.574539741319704,12.951113315507849
h3_grid_0030,h3,train,grid,off_path,1.1285714286,1.5571428571,-0.3753260149596572,-0.3753260149596572,0.0,0.0,0.0,10.574539741319704,12.951113315507849
h3_grid_0031,h3,train,grid,off_path,1.1285714286,1.7,-0.3753260149596572,-0.3753260149596572,0.0,0.0,0.0,10.574539741319704,12.951113315507849
h3_grid_0032,h3,train,grid,off_path,1.2714285714,0.7,-4.4791563811834925,-4.4791563811834925,0.0,0.0,0.0,1.3742060996423946,1.6830518727720618
h3_grid_0033,h3,train,grid,off_path,1.2714285714,0.8428571429,-4.361411027261012,-4.361411027261012,0.0,0.0,0.0,2.1969939990804512,2.6907571328518802
h3_grid_0034,h3,train,grid,transfer_region,1.2714285714,0.9857142857,-3.3247077827859153,-3.3247077827859153,0.0,0.0,0.0,16.05756997833018,19.666426477971438
h3_grid_0035,h3,train,grid,transfer_region,1.2714285714,1.1285714286,-0.3753260149596572,-0.3753260149596572,0.0,0.0,0.0,10.574539741319704,12.951113315507849
h3_grid_0036,h3,train,grid,off_path,1.2714285714,1.2714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0
h3_grid_0037,h3,train,grid,off_path,1.2714285714,1.4142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0
h3_grid_0038,h3,train,grid,off_path,1.2714285714,1.5571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0
h3_grid_0039,h3,train,grid,off_path,1.2714285714,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
h3_grid_0040,h3,train,grid,off_path,1.4142857143,0.7,-4.479156381183492,-4.479156381183492,0.0,0.0,0.0,1.3742060996424033,1.6830518727720725
h3_grid_0041,h3,train,grid,off_path,1.4142857143,0.8428571429,-4.361411027530087,-4.361411027530087,0.0,0.0,0.0,2.1969939975637693,2.6907571309943314
h3_grid_0042,h3,train,grid,transfer_region,1.4142857143,0.9857142857,-3.3247077827859153,-3.3247077827859153,0.0,0.0,0.0,16.05756997833018,19.666426477971438
h3_grid_0043,h3,train,grid,transfer_region,1.4142857143,1.1285714286,-0.3753260149596572,-0.3753260149596572,0.0,0.0,0.0,10.574539741319704,12.951113315507849
h3_grid_0044,h3,train,grid,off_path,1.4142857143,1.2714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0
h3_grid_0045,h3,train,grid,off_path,1.4142857143,1.4142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0
h3_grid_0046,h3,train,grid,off_path,1.4142857143,1.5571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0
h3_grid_0047,h3,train,grid,off_path,1.4142857143,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
h3_grid_0048,h3,train,grid,product_like,1.5571428571,0.7,-4.479156381183492,-4.479156381183492,0.0,0.0,0.0,1.3742060996424033,1.6830518727720725
h3_grid_0049,h3,train,grid,product_like,1.5571428571,0.8428571429,-4.361411027261012,-4.361411027261012,0.0,0.0,0.0,2.1969939990804512,2.6907571328518802
h3_grid_0050,h3,train,grid,transfer_region,1.5571428571,0.9857142857,-3.324707780819271,-3.324707780819271,0.0,0.0,0.0,16.05756999064169,19.666426493049894
h3_grid_0051,h3,train,grid,transfer_region,1.5571428571,1.1285714286,-0.3753260149596572,-0.3753260149596572,0.0,0.0,0.0,10.574539741319704,12.951113315507849
h3_grid_0052,h3,train,grid,off_path,1.5571428571,1.2714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0
h3_grid_0053,h3,train,grid,off_path,1.5571428571,1.4142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0
h3_grid_0054,h3,train,grid,off_path,1.5571428571,1.5571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0
