step,time_fs,potential_eV,kinetic_eV,total_eV,energy_drift_eV,component_count,largest_component_edges,capped_steps,rebuild_count
400,20.00000000000015,-8.10050981183766,3.06323816169198,-5.037271650145681,0.00032278967128096525,2,2,0,11
410,20.500000000000156,-8.159010592671935,3.121697962287445,-5.0373126303844895,0.00028180943247235746,2,2,0,11
420,21.000000000000163,-8.448103203930696,3.410533878062232,-5.037569325868464,2.511394849769033e-05,2,2,0,11
430,21.50000000000017,-8.604631661001456,3.566903128693919,-5.037728532307536,-0.000134092490574389,2,2,0,12
440,22.000000000000178,-8.464176438983525,3.4268322701824734,-5.037344168801052,0.00025027101590957557,2,2,0,12
450,22.500000000000185,-8.285185626740638,3.247874735969829,-5.03731089077081,0.0002835490461521317,2,2,0,12
460,23.000000000000192,-8.13962017696027,3.102337896156396,-5.037282280803874,0.0003121590130881202,2,2,0,13
470,23.5000000000002,-8.071880015143844,3.0346113741636223,-5.037268640980221,0.00032579883674088705,2,2,0,13
480,24.000000000000206,-8.103155413033775,3.065880793578677,-5.037274619455099,0.00031982036186306573,2,2,0,13
490,24.500000000000213,-8.224187506805475,3.1868896308232997,-5.0372978759821745,0.0002965638347873778,2,2,0,14
500,25.00000000000022,-8.398776032857423,3.361445783190769,-5.037330249666654,0.00026419015030754167,2,2,0,14
510,25.500000000000227,-8.57591624200983,3.538334009703691,-5.037582232306139,1.220751082264826e-05,2,2,0,14
520,26.000000000000234,-8.535788618655914,3.498247608240704,-5.03754101041521,5.342940175179223e-05,2,2,0,15
530,26.50000000000024,-8.250314819374317,3.2130439637516344,-5.037270855622683,0.0003235841942785811,2,2,0,15
540,27.00000000000025,-8.09096227137054,3.053814151025118,-5.037148120345421,0.00044631947154094576,2,2,0,15
550,27.500000000000256,-8.240179306119906,3.202894975582352,-5.037284330537554,0.0003101092794075555,2,2,0,15
560,28.000000000000263,-8.498106599434635,3.460558837533907,-5.037547761900728,4.667791623358397e-05,2,2,0,16
570,28.50000000000027,-8.51538180173086,3.4780743709085447,-5.037307430822315,0.0002870089946469534,2,2,0,16
580,29.000000000000277,-8.395593719585964,3.3582930221906775,-5.0373006973952865,0.00029374242167534703,2,2,0,16
590,29.500000000000284,-8.262032340356033,3.2247570736161726,-5.03727526673986,0.0003191730771021639,2,2,0,17
600,30.00000000000029,-8.151730936764897,3.114483024888185,-5.037247911876712,0.0003465279402501409,2,2,0,17
610,30.5000000000003,-8.105192856926815,3.067959099507053,-5.037233757419761,0.0003606823972006623,2,2,0,17
620,31.000000000000306,-8.14384165091191,3.106603916832789,-5.03723773407912,0.0003567057378415228,2,2,0,18
630,31.500000000000313,-8.261673369369214,3.2244176680082997,-5.037255701360914,0.00033873845604759367,2,2,0,18
640,32.00000000000032,-8.430455497198551,3.3931754453362593,-5.037280051862291,0.0003143879546705364,2,2,0,18
650,32.50000000000029,-8.558341277604525,3.520803768950598,-5.0375375086539265,5.69311630354008e-05,2,2,0,19
660,33.00000000000026,-8.401706622939658,3.364364449906983,-5.037342173032675,0.00025226678428680316,2,2,0,19
670,33.500000000000234,-8.191682293435989,3.1545339104651147,-5.037148382970874,0.00044605684608800544,2,2,0,19
680,34.000000000000206,-8.207672201822763,3.1704973627352215,-5.037174839087542,0.0004196007294199333,2,2,0,20
690,34.50000000000018,-8.412775861256236,3.3753820002455197,-5.037393861010717,0.00020057880624513302,2,2,0,20
700,35.00000000000015,-8.504142099520347,3.466627763870075,-5.037514335650272,8.01041666900204e-05,2,2,0,20
710,35.50000000000012,-8.380099800460602,3.3429344646835304,-5.037165335777072,0.0004291040398900492,2,2,0,20
720,36.00000000000009,-8.276794222078859,3.239624843469576,-5.037169378609283,0.00042506120767882294,2,2,0,21
730,36.500000000000064,-8.20664022245195,3.169471550190586,-5.037168672261364,0.0004257675555976448,2,2,0,21
740,37.000000000000036,-8.170063998909837,3.132904333998166,-5.037159664911671,0.00043477490529042484,2,2,0,21
750,37.50000000000001,-8.177963583960413,3.140810842493174,-5.037152741467239,0.00044169834972329625,2,2,0,22
760,37.99999999999998,-8.238727948425733,3.2015726099579416,-5.037155338467792,0.0004391013491700235,2,2,0,22
770,38.49999999999995,-8.347345492924028,3.310179513782706,-5.037165979141322,0.0004284606756401743,2,2,0,22
780,38.99999999999992,-8.484923081950361,3.4475047048710126,-5.037418377079349,0.00017606273761305857,2,2,0,23
790,39.49999999999989,-8.443041293953085,3.4056831982765523,-5.037358095676533,0.00023634414042916774,2,2,0,23
800,39.999999999999865,-8.22059820240814,3.183487455737602,-5.037110746670539,0.0004836931464229366,2,2,0,23
810,40.49999999999984,-8.15389099897574,3.1168539814705913,-5.037037017505149,0.0005574223118127719,2,2,0,24
820,40.99999999999981,-8.352830484862926,3.31562315071123,-5.037207334151695,0.0003871056652666738,2,2,0,24
830,41.49999999999978,-8.570246814646083,3.5327948296085143,-5.037451985037569,0.00014245477939311968,2,2,0,24
840,41.99999999999975,-8.48978237613877,3.4524813778526218,-5.037300998286148,0.0002934415308137872,2,2,0,25
850,42.49999999999972,-8.299879034578602,3.2626189776590544,-5.037260056919548,0.00033438289741383187,2,2,0,25
860,42.999999999999694,-8.164553931931241,3.127316864803692,-5.037237067127549,0.00035737268941282707,2,2,0,25
870,43.499999999999666,-8.119635644548662,3.0823918286002536,-5.0372438159484085,0.0003506238685533347,2,2,0,25
880,43.99999999999964,-8.156593064346668,3.1193290155440883,-5.037264048802579,0.00033039101438259166,2,2,0,26
890,44.49999999999961,-8.244266278225137,3.206985761823266,-5.0372805164018715,0.0003139234150904002,2,2,0,26
900,44.99999999999958,-8.354586622305494,3.317296788168789,-5.037289834136704,0.0003046056802578079,2,2,0,26
910,45.49999999999955,-8.469844166711065,3.43254958879635,-5.0372945779147145,0.0002998619022474003,2,2,0,27
920,45.999999999999524,-8.51803171543866,3.480419702832234,-5.037612012606425,-1.7572789463571326e-05,2,2,0,27
930,46.499999999999496,-8.300224250643502,3.2628357092653877,-5.037388541378115,0.00020589843884710746,2,2,0,27
940,46.99999999999947,-8.092512956924837,3.055317219099428,-5.037195737825409,0.0003987019915525636,2,2,0,28
950,47.49999999999944,-8.171993200960664,3.1347454587403445,-5.03724774222032,0.000346697596642187,2,2,0,28
960,47.99999999999941,-8.460303927038195,3.4227976512791063,-5.037506275759089,8.816405787293036e-05,2,2,0,28
970,48.49999999999938,-8.596666102827118,3.5590221172985137,-5.037643985528605,-4.954571164272892e-05,2,2,0,29
980,48.99999999999935,-8.458560320904924,3.4211484219355626,-5.037411898969362,0.00018254084760016553,2,2,0,29
990,49.499999999999325,-8.282518743572076,3.245138756545791,-5.037379987026285,0.0002144527906766669,2,2,0,29
1000,49.9999999999993,-8.132121023298337,3.094782284564869,-5.037338738733468,0.000255701083493598,2,2,0,30
