x_A,hstate_energy_eV,hard_energy_eV,smooth_energy_eV,oo_taper_01,oo_taper_10,hard_oo_membership_01,hard_oo_membership_10,smooth_oo_membership_01,smooth_oo_membership_10,hard_o0_h1,hard_o0_h2,hard_o1_h1,hard_o1_h2,smooth_o0_h1,smooth_o0_h2,smooth_o1_h1,smooth_o1_h2,hard_over_delta_eV,hard_angle_delta_eV,smooth_over_delta_eV,smooth_angle_delta_eV
1.107,-7.9973687458586245,-14.009363570518225,-13.964061497743666,0.39818872910200126,0.39818872910200126,0.0,0.0,0.012755702884507288,0.016258967538633477,1.0,1.0,1.0,1.0,0.9944184418888559,0.9928258552266369,0.9939747315853582,0.9897663008760083,-2.4664701305330334,-3.5455246941265663,-2.4664701305330334,-3.5002226213520067
1.108,-8.064463035834608,-14.013482392713716,-13.968918307384737,0.395211674164974,0.395211674164974,0.0,0.0,0.012632065682981437,0.016156506103228614,1.0,1.0,1.0,1.0,0.9944720890898127,0.992895845227206,0.9940246208530669,0.9898188730437043,-2.4297269116165565,-3.5192924452625505,-2.4297269116165565,-3.474728359933572
1.109,-8.13118291847863,-14.017596191815269,-13.973766261983453,0.39223849975913117,0.39223849975913117,0.0,0.0,0.01250798142584271,0.01605273242566661,1.0,1.0,1.0,1.0,0.9945259417799149,0.9929660767942425,0.9940748126529522,0.9898724549213814,-2.393306789024882,-3.493106484311757,-2.393306789024882,-3.4492765544799404
1.11,-8.197527575255044,-14.02170495516783,-13.978605253913726,0.38926931598734676,0.38926931598734676,0.0,0.0,0.012383462391721466,0.015947649036706833,1.0,1.0,1.0,1.0,0.9945799946448544,0.9930365429634241,0.9941253039067494,0.9899270470565438,-2.3572100193441594,-3.4669673605686278,-2.3572100193441594,-3.423867659314523
1.111,-8.263496228291329,-14.025808669933303,-13.983435132060313,0.38630423280471354,0.38630423280471354,0.0,0.0,0.012258533720112846,0.015841275528146306,1.0,1.0,1.0,1.0,0.9946342366437076,0.9931072296361795,0.9941760850167339,0.9899826394551198,-2.321436818159832,-3.4408756234821425,-2.321436818159832,-3.3985020856091523
1.112,-8.329088140133582,-14.02990732310259,-13.988247259659062,0.3833433600144747,0.3833433600144747,0.0,0.0,0.012135678206008306,0.01573690267038033,1.0,1.0,1.0,1.0,0.9946875622229316,0.9931767595710601,0.9942258920812452,0.9900372052483745,-2.285987360214763,-3.4148318227542447,-2.285987360214763,-3.3731717593107167
1.113,-8.39430261349743,-14.034000901507389,-13.993036403675571,0.3803868072639496,0.3803868072639496,0.0,0.0,0.012016452320132952,0.015636636154784597,1.0,1.0,1.0,1.0,0.9947392780622426,0.9932442696176245,0.9942739232706039,0.9900894405746115,-2.2508617795730133,-3.388836508436946,-2.2508617795730133,-3.347872010605129
1.114,-8.459138991013756,-14.038089391831635,-13.99780417787466,0.3774346840404794,0.3774346840404794,0.0,0.0,0.011900445343757872,0.015539976527920357,1.0,1.0,1.0,1.0,0.9947895668248711,0.9933099878313711,0.9943203776900668,0.9901396457820127,-2.2160601697895532,-3.3628902310283255,-2.2160601697895532,-3.322605017071351
1.115,-8.523596654969824,-14.042172780622572,-14.002552069738334,0.3744870996673699,0.3744870996673699,0.0,0.0,0.011787273060546319,0.015446452148489411,1.0,1.0,1.0,1.0,0.9948385994037034,0.9933741275357503,0.9943654424742943,0.9901881053772165,-2.181582584085584,-3.336993541567165,-2.181582584085584,-3.2973728306829257
1.116,-8.587675027045753,-14.046251054301628,-14.007281450414641,0.3715441632998431,0.3715441632998431,0.0,0.0,0.011676575659582862,0.015355616863036808,1.0,1.0,1.0,1.0,0.9948865358595682,0.9934368884808489,0.9944092937917631,0.9902350893452002,-2.147429035529599,-3.311146991726276,-2.147429035529599,-3.272177387839288
1.117,-8.651373568046226,-14.050324199174877,-14.011993583453872,0.36860598392099914,0.36860598392099914,0.0,0.0,0.011568015921752342,0.015267048014293162,1.0,1.0,1.0,1.0,0.994933526232155,0.9934984578460928,0.9944520977099089,0.9902808542757977,-2.113599497224115,-3.285351133904536,-2.113599497224115,-3.2470205181835303
1.118,-8.71469177762796,-14.054392201443296,-14.016689632494064,0.36567267033777284,0.36567267033777284,0.0,0.0,0.011461277653385657,0.015180344742066688,1.0,1.0,1.0,1.0,0.9949797112397921,0.9935590111068222,0.9944940109381423,0.9903256443197911,-2.080093902497931,-3.259606521317406,-2.080093902497931,-3.221903952368174
1.119,-8.77762919402242,-14.058455047212645,-14.021370668035988,0.362744331176909,0.362744331176909,0.0,0.0,0.011356064335743557,0.015095126541754787,1.0,1.0,1.0,1.0,0.9950252228822136,0.9936187127820428,0.9945351814636452,0.9903696919946,-2.046912145104094,-3.2339137080861295,-2.046912145104094,-3.1968293289094736
1.12,-8.840185393754268,-14.06251272250311,-14.026037673430041,0.3598210748809424,0.3598210748809424,0.0,0.0,0.01125209796279926,0.015011032049830973,1.0,1.0,1.0,1.0,0.995070184958687,0.9936777170785137,0.9945757490929982,0.9904132188571708,-2.0140540794233854,-3.208273249325457,-2.0140540794233854,-3.171798200252388
1.121,-8.902359991355617,-14.06656521325864,-14.030691550181984,0.3569030097041754,0.3569030097041754,0.0,0.0,0.011149118043036896,0.014927718029210998,1.0,1.0,1.0,1.0,0.9951147135124137,0.9937361684445494,0.9946158459111344,0.9904564360596546,-1.9815195206732386,-3.1826857012297847,-1.9815195206732386,-3.1468120381531293
1.122,-8.964152639075941,-14.070612505356,-14.035333122671569,0.35399024370867177,0.35399024370867177,0.0,0.0,0.011046880743729434,0.01484485853036156,1.0,1.0,1.0,1.0,0.9951589172108717,0.9937942020453989,0.9946555966678303,0.9904995448018081,-1.949308245122226,-3.1571516211578334,-1.949308245122226,-3.1218722384734026
1.123,-9.025563026587767,-14.074654584613555,-14.03996314236694,0.3510828847602596,0.3510828847602596,0.0,0.0,0.010945158158473835,0.014762144206469312,1.0,1.0,1.0,1.0,0.995202897670736,0.9938519441707903,0.994695119100863,0.9905427366926678,-1.9174199903099876,-3.1316715677158014,-1.9174199903099876,-3.0969801254691847
1.124,-9.086590880688563,-14.078691436799794,-14.044582291608155,0.3481810405245293,0.3481810405245293,0.0,0.0,0.010843737680734739,0.014679281763051603,1.0,1.0,1.0,1.0,0.9952467497351206,0.9939095125841447,0.9947345242040528,0.9905861940328956,-1.885854455272453,-3.106246100838777,-1.885854455272453,-3.072136955647138
1.125,-9.147235964998355,-14.082723047641528,-14.049191187024789,0.34528481846285025,0.34528481846285025,0.0,0.0,0.010742421467838471,0.014595993524109207,1.0,1.0,1.0,1.0,0.9952905617101304,0.9939670168220311,0.9947739164476518,0.9906300900282392,-1.8546113007725258,-3.080875781870647,-1.8546113007725258,-3.0473439212539075
1.1260000000000001,-9.20749807965358,-14.086749402831906,-14.053790382645436,0.3423943258283906,0.3423943258283906,0.0,0.0,0.010641025981318983,0.014512017098388875,1.0,1.0,1.0,1.0,0.9953344155670563,0.9940245584516247,0.994813393957877,0.9906745889437343,-1.8236901495360411,-3.0555611736422827,-1.8236901495360411,-3.022602153455814
1.127,-9.267377060997003,-14.090770488038116,-14.058380372750392,0.339509669662149,0.339509669662149,0.0,0.0,0.0105393815907973,0.014427105130567573,1.0,1.0,1.0,1.0,0.9953783871159734,0.9940822312932296,0.9948530486618414,0.990719846207591,-1.7930905864930424,-3.0303028405480714,-1.7930905864930424,-2.9979127252603477
1.1280000000000001,-9.326872781264022,-14.094786288908839,-14.06296159451309,0.336630956788984,0.336630956788984,0.0,0.0,0.010437332229708284,0.014341025123253285,1.0,1.0,1.0,1.0,0.9954225461559953,0.9941401216142963,0.9948929664036352,0.9907660084731117,-1.7628121590241812,-3.005101348620637,-1.7628121590241812,-2.9732766542248887
