geometry_id,system,split,sample_kind,region,donor_distance_angstrom,transfer_distance_angstrom,base_energy_eV,qm_energy_eV,base_reference_eV,qm_reference_eV,base_relative_eV,qm_relative_eV,residual_target_eV,base_force_max_eV_per_angstrom
water_jitter_0006,water,train,jitter,off_path,1.3000659563,1.0005824414,-12.583281719499773,-4138.441083689337,-15.151074770159095,-4139.1192280184405,2.567793050659322,0.6781443291038158,-1.8896487215555062,37.46753612271842
water_jitter_0007,water,train,jitter,off_path,1.2065733592,1.5428646829,-14.292358600098321,-4138.381740150809,-15.151074770159095,-4139.1192280184405,0.8587161700607737,0.7374878676318986,-0.12122830242887517,8.003922536384618
water_jitter_0008,water,train,jitter,off_path,1.5349624361,1.7781021956,-10.306450611301187,-4136.802951205201,-15.151074770159095,-4139.1192280184405,4.844624158857908,2.3162768132397105,-2.5283473456181973,0.7127580019018261
water_jitter_0009,water,train,jitter,transfer_region,1.4535281997,1.4583124567,-10.952314068390388,-4137.310510078585,-15.151074770159095,-4139.1192280184405,4.198760701768707,1.8087179398553417,-2.3900427619133655,9.218401958793507
water_jitter_0011,water,train,jitter,reactant_like,1.0086403875,1.7477489682,-15.150878308257791,-4139.128707142699,-15.151074770159095,-4139.1192280184405,0.00019646190130373498,-0.009479124258177762,-0.009675586159481497,3.0902888888512563
water_jitter_0012,water,train,jitter,off_path,1.6834594973,1.2161643613,-14.114052924402182,-4138.307524354866,-15.151074770159095,-4139.1192280184405,1.0370218457569127,0.8117036635749173,-0.2253181821819954,10.715900016181568
water_jitter_0013,water,train,jitter,reactant_like,1.0188359316,1.7194732046,-14.99819583113447,-4138.8169922597735,-15.151074770159095,-4139.1192280184405,0.15287893902462457,0.30223575866693864,0.14935681964231406,4.159868409584697
water_jitter_0014,water,train,jitter,product_like,1.6356440764,0.9215545952,-15.153295123648109,-4138.86741493476,-15.151074770159095,-4139.1192280184405,-0.0022203534890135046,0.2518130836806449,0.2540334371696584,2.488734333372873
water_jitter_0016,water,train,jitter,transfer_region,1.1782116501,1.1096868132,-10.446856069605317,-4138.179522017768,-15.151074770159095,-4139.1192280184405,4.704218700553778,0.9397060006722313,-3.7645126998815464,7.522318602760309
water_jitter_0017,water,train,jitter,off_path,1.3370782118,1.6706530931,-12.206332768260433,-4137.868966104231,-15.151074770159095,-4139.1192280184405,2.9447420018986623,1.2502619142096592,-1.6944800876890032,18.41155599729019
water_jitter_0018,water,train,jitter,reactant_like,1.0034896677,1.7143215373,-15.10201518565419,-4138.746921480797,-15.151074770159095,-4139.1192280184405,0.04905958450490466,0.37230653764345334,0.3232469531385487,5.159596432297517
water_jitter_0020,water,train,jitter,off_path,1.1404113478,1.6355859187,-14.572970493848523,-4138.643408070739,-15.151074770159095,-4139.1192280184405,0.5781042763105724,0.4758199477018934,-0.10228432860867898,6.663645424639425
water_jitter_0021,water,train,jitter,transfer_region,1.7591629204,1.7127729492,-10.297918951473038,-4135.862971647987,-15.151074770159095,-4139.1192280184405,4.853155818686057,3.2562563704532295,-1.5968994482328274,1.165529725262413
water_jitter_0023,water,train,jitter,off_path,1.7956375406,1.1458342265,-14.616040740531771,-4138.77946157882,-15.151074770159095,-4139.1192280184405,0.5350340296273242,0.3397664396206892,-0.19526759000663496,6.374086123580598
formaldehyde_reactant_reference_0000,formaldehyde,train,reactant_reference,reactant_reference,1.09,5.0,-15.278360339065305,-3128.712103255751,-15.278360339065305,-3128.712103255751,0.0,0.0,0.0,0.5909819377291787
formaldehyde_product_reference_0000,formaldehyde,train,product_reference,product_reference,5.0,0.74144,-15.71694615227051,-3129.2079963042843,-15.278360339065305,-3128.712103255751,-0.4385858132052043,-0.4958930485331621,-0.057307235327957784,2.1916024948796298
formaldehyde_grid_0000,formaldehyde,train,grid,off_path,1.0,0.65,-11.308545605953702,-3124.6433262449627,-15.278360339065305,-3128.712103255751,3.969814733111603,4.068777010788381,0.09896227767677779,17.685056259683208
