gap_A,bridge_taper,energy_eV,dE_dgap_autograd_eV_per_A,component_count,largest_component_edges,dE_dgap_finite_difference_eV_per_A,gradient_error_eV_per_A
1.1886373333333333,0.0,-5.037634138848642,-1.7763568394002505e-15,2,2,0.0,-1.7763568394002505e-15
1.1889706666666666,0.0,-5.037634138848642,-1.7763568394002505e-15,2,2,0.0,-1.7763568394002505e-15
1.189304,0.0,-5.037634138848642,-1.7763568394002505e-15,2,2,0.0,-1.7763568394002505e-15
1.1896373333333334,0.0,-5.037634138848642,-1.7763568394002505e-15,2,2,0.0,-1.7763568394002505e-15
1.1899706666666667,0.0,-5.037634138848642,-1.7763568394002505e-15,2,2,0.0,-1.7763568394002505e-15
1.190304,0.0,-5.037634138848642,-1.7763568394002505e-15,2,2,0.0,-1.7763568394002505e-15
1.1906373333333333,0.0,-5.037634138848642,-1.7763568394002505e-15,2,2,0.0,-1.7763568394002505e-15
1.1909706666666666,0.0,-5.037634138848642,-1.7763568394002505e-15,2,2,0.0,-1.7763568394002505e-15
1.1913040000000001,0.0,-5.037634138848642,-1.7763568394002505e-15,2,2,0.0,-1.7763568394002505e-15
1.1916373333333334,0.0,-5.037634138848642,-1.7763568394002505e-15,2,2,0.0,-1.7763568394002505e-15
1.1919706666666667,0.0,-5.037634138848642,-1.7763568394002505e-15,2,2,0.0,-1.7763568394002505e-15
1.192304,0.0,-5.037634138848642,-1.7763568394002505e-15,2,2,0.0,-1.7763568394002505e-15
1.1926373333333333,0.0,-5.037634138848642,-1.7763568394002505e-15,2,2,0.0,-1.7763568394002505e-15
1.1929706666666666,0.0,-5.037634138848642,-1.7763568394002505e-15,2,2,0.0,-1.7763568394002505e-15
1.193304,0.0,-5.037634138848642,-1.7763568394002505e-15,2,2,0.0,-1.7763568394002505e-15
1.1936373333333334,0.0,-5.037634138848642,-1.7763568394002505e-15,2,2,0.0,-1.7763568394002505e-15
1.1939706666666667,0.0,-5.037634138848642,-1.7763568394002505e-15,2,2,0.0,-1.7763568394002505e-15
1.194304,0.0,-5.037634138848642,-1.7763568394002505e-15,2,2,0.0,-1.7763568394002505e-15
1.1946373333333333,0.0,-5.037634138848642,-1.7763568394002505e-15,2,2,0.0,-1.7763568394002505e-15
1.1949706666666666,0.0,-5.037634138848642,-1.7763568394002505e-15,2,2,0.0,-1.7763568394002505e-15
