system,approach,contact_distance_A,actual_min_distance_A,probe_centre_distance_A,exch10_hartree,exch10_eV,exch10_s2_hartree,exch10_s2_eV,exact_to_s2_ratio,target_atoms_json,probe_atoms_json,target_bonds_json,approach_vector_json,status
CH3OH,OH_bond,2.2,2.200000000000002,4.444578073495198,0.0007688214837037003,0.020920698347274957,0.000768213917924296,0.020904165640181743,1.000790880984096,"[{""element"": ""C"", ""xyz"": [0.0, 0.0, 0.0]}, {""element"": ""O"", ""xyz"": [1.43, 0.0, 0.0]}, {""element"": ""H"", ""xyz"": [-0.36333333333333334, 1.0276618553244492, 0.0]}, {""element"": ""H"", ""xyz"": [-0.36333333333333334, -0.5138309276622244, 0.8899812732112216]}, {""element"": ""H"", ""xyz"": [-0.36333333333333334, -0.513830927662225, -0.8899812732112213]}, {""element"": ""H"", ""xyz"": [1.7346124701488885, 0.9103907089979513, 0.0]}]","[{""element"": ""H"", ""xyz"": [3.120341538732967, 2.619119753779806, 0.0]}, {""element"": ""H"", ""xyz"": [3.6882420371647266, 3.0957981542564363, 0.0]}]","[[0, 1], [0, 2], [0, 3], [0, 4], [1, 5]]","[0.7659426230467193, 0.6429089346091803, 0.0]",ok
CH3OH,O_lone,1.2,1.2000000000000004,2.632576417229804,0.2251491842815233,6.126621416453661,0.19777884162418805,5.381836450719869,1.1383886285942728,"[{""element"": ""C"", ""xyz"": [0.0, 0.0, 0.0]}, {""element"": ""O"", ""xyz"": [1.43, 0.0, 0.0]}, {""element"": ""H"", ""xyz"": [-0.36333333333333334, 1.0276618553244492, 0.0]}, {""element"": ""H"", ""xyz"": [-0.36333333333333334, -0.5138309276622244, 0.8899812732112216]}, {""element"": ""H"", ""xyz"": [-0.36333333333333334, -0.513830927662225, -0.8899812732112213]}, {""element"": ""H"", ""xyz"": [1.7346124701488885, 0.9103907089979513, 0.0]}]","[{""element"": ""H"", ""xyz"": [2.0003127455117635, -1.055814080369662, 0.0]}, {""element"": ""H"", ""xyz"": [2.656018329091059, -1.4019115540139178, 0.0]}]","[[0, 1], [0, 2], [0, 3], [0, 4], [1, 5]]","[0.8843676947282249, -0.4667909387735427, 0.0]",ok
CH3OH,O_lone,1.5,1.5000000000000002,2.9786561697680787,0.08253604270438493,2.245920137244378,0.07826684402858225,2.129749323116251,1.0545467078529909,"[{""element"": ""C"", ""xyz"": [0.0, 0.0, 0.0]}, {""element"": ""O"", ""xyz"": [1.43, 0.0, 0.0]}, {""element"": ""H"", ""xyz"": [-0.36333333333333334, 1.0276618553244492, 0.0]}, {""element"": ""H"", ""xyz"": [-0.36333333333333334, -0.5138309276622244, 0.8899812732112216]}, {""element"": ""H"", ""xyz"": [-0.36333333333333334, -0.513830927662225, -0.8899812732112213]}, {""element"": ""H"", ""xyz"": [1.7346124701488885, 0.9103907089979513, 0.0]}]","[{""element"": ""H"", ""xyz"": [2.306374498456152, -1.2173609729475185, 0.0]}, {""element"": ""H"", ""xyz"": [2.962080082035447, -1.5634584465917742, 0.0]}]","[[0, 1], [0, 2], [0, 3], [0, 4], [1, 5]]","[0.8843676947282249, -0.4667909387735427, 0.0]",ok
CH3OH,O_lone,1.85,1.8500000000000003,3.3607437354555185,0.024863774013052887,0.6765777582021412,0.024418652905555713,0.6644653958197936,1.018228733141782,"[{""element"": ""C"", ""xyz"": [0.0, 0.0, 0.0]}, {""element"": ""O"", ""xyz"": [1.43, 0.0, 0.0]}, {""element"": ""H"", ""xyz"": [-0.36333333333333334, 1.0276618553244492, 0.0]}, {""element"": ""H"", ""xyz"": [-0.36333333333333334, -0.5138309276622244, 0.8899812732112216]}, {""element"": ""H"", ""xyz"": [-0.36333333333333334, -0.513830927662225, -0.8899812732112213]}, {""element"": ""H"", ""xyz"": [1.7346124701488885, 0.9103907089979513, 0.0]}]","[{""element"": ""H"", ""xyz"": [2.6442803981074725, -1.3957159864284563, 0.0]}, {""element"": ""H"", ""xyz"": [3.299985981686768, -1.741813460072712, 0.0]}]","[[0, 1], [0, 2], [0, 3], [0, 4], [1, 5]]","[0.8843676947282249, -0.4667909387735427, 0.0]",ok
CH3OH,O_lone,2.2,2.2000000000000006,3.7316551461362786,0.007282370042905068,0.198163384023702,0.007239245621520226,0.1969899087367643,1.005957032491983,"[{""element"": ""C"", ""xyz"": [0.0, 0.0, 0.0]}, {""element"": ""O"", ""xyz"": [1.43, 0.0, 0.0]}, {""element"": ""H"", ""xyz"": [-0.36333333333333334, 1.0276618553244492, 0.0]}, {""element"": ""H"", ""xyz"": [-0.36333333333333334, -0.5138309276622244, 0.8899812732112216]}, {""element"": ""H"", ""xyz"": [-0.36333333333333334, -0.513830927662225, -0.8899812732112213]}, {""element"": ""H"", ""xyz"": [1.7346124701488885, 0.9103907089979513, 0.0]}]","[{""element"": ""H"", ""xyz"": [2.97230246731961, -1.5688540720219473, 0.0]}, {""element"": ""H"", ""xyz"": [3.6280080508989054, -1.914951545666203, 0.0]}]","[[0, 1], [0, 2], [0, 3], [0, 4], [1, 5]]","[0.8843676947282249, -0.4667909387735427, 0.0]",ok
CH3OH,out_of_plane,1.2,1.2000000000000002,1.9646698250025596,0.32307998893527023,8.791454367267168,0.26735370505478784,7.2750649325417855,1.2084365498845906,"[{""element"": ""C"", ""xyz"": [0.0, 0.0, 0.0]}, {""element"": ""O"", ""xyz"": [1.43, 0.0, 0.0]}, {""element"": ""H"", ""xyz"": [-0.36333333333333334, 1.0276618553244492, 0.0]}, {""element"": ""H"", ""xyz"": [-0.36333333333333334, -0.5138309276622244, 0.8899812732112216]}, {""element"": ""H"", ""xyz"": [-0.36333333333333334, -0.513830927662225, -0.8899812732112213]}, {""element"": ""H"", ""xyz"": [1.7346124701488885, 0.9103907089979513, 0.0]}]","[{""element"": ""H"", ""xyz"": [1.0998517638551366, 0.0, 1.153690661386507]}, {""element"": ""H"", ""xyz"": [1.6114576368890905, 0.0, 1.6903401785549899]}]","[[0, 1], [0, 2], [0, 3], [0, 4], [1, 5]]","[0.6900165529698342, 0.0, 0.7237935870312946]",ok
CH3OH,out_of_plane,1.5,1.5000000000000004,2.443134051293805,0.10491530355190738,2.854890848066028,0.09797256968757943,2.6659694352806995,1.0708640580365232,"[{""element"": ""C"", ""xyz"": [0.0, 0.0, 0.0]}, {""element"": ""O"", ""xyz"": [1.43, 0.0, 0.0]}, {""element"": ""H"", ""xyz"": [-0.36333333333333334, 1.0276618553244492, 0.0]}, {""element"": ""H"", ""xyz"": [-0.36333333333333334, -0.5138309276622244, 0.8899812732112216]}, {""element"": ""H"", ""xyz"": [-0.36333333333333334, -0.513830927662225, -0.8899812732112213]}, {""element"": ""H"", ""xyz"": [1.7346124701488885, 0.9103907089979513, 0.0]}]","[{""element"": ""H"", ""xyz"": [1.4300000000000004, 0.0, 1.5000000000000004]}, {""element"": ""H"", ""xyz"": [1.9416058730339543, 0.0, 2.0366495171684833]}]","[[0, 1], [0, 2], [0, 3], [0, 4], [1, 5]]","[0.6900165529698342, 0.0, 0.7237935870312946]",ok
CH3OH,out_of_plane,1.85,1.8500000000000003,2.8908136855874305,0.03086295079942208,0.8398236748939983,0.030172025940792352,0.8210226516988701,1.0228995182486438,"[{""element"": ""C"", ""xyz"": [0.0, 0.0, 0.0]}, {""element"": ""O"", ""xyz"": [1.43, 0.0, 0.0]}, {""element"": ""H"", ""xyz"": [-0.36333333333333334, 1.0276618553244492, 0.0]}, {""element"": ""H"", ""xyz"": [-0.36333333333333334, -0.5138309276622244, 0.8899812732112216]}, {""element"": ""H"", ""xyz"": [-0.36333333333333334, -0.513830927662225, -0.8899812732112213]}, {""element"": ""H"", ""xyz"": [1.7346124701488885, 0.9103907089979513, 0.0]}]","[{""element"": ""H"", ""xyz"": [1.7389063580900839, 0.0, 1.824027648346242]}, {""element"": ""H"", ""xyz"": [2.2505122311240378, 0.0, 2.360677165514725]}]","[[0, 1], [0, 2], [0, 3], [0, 4], [1, 5]]","[0.6900165529698342, 0.0, 0.7237935870312946]",ok
CH3OH,out_of_plane,2.2,2.200000000000001,3.2987637377147405,0.00912778067140884,0.2483795654183696,0.009059836869770606,0.24653072038897084,1.0074994508858033,"[{""element"": ""C"", ""xyz"": [0.0, 0.0, 0.0]}, {""element"": ""O"", ""xyz"": [1.43, 0.0, 0.0]}, {""element"": ""H"", ""xyz"": [-0.36333333333333334, 1.0276618553244492, 0.0]}, {""element"": ""H"", ""xyz"": [-0.36333333333333334, -0.5138309276622244, 0.8899812732112216]}, {""element"": ""H"", ""xyz"": [-0.36333333333333334, -0.513830927662225, -0.8899812732112213]}, {""element"": ""H"", ""xyz"": [1.7346124701488885, 0.9103907089979513, 0.0]}]","[{""element"": ""H"", ""xyz"": [2.0203986468428345, 0.0, 2.1192992799050714]}, {""element"": ""H"", ""xyz"": [2.5320045198767884, 0.0, 2.6559487970735542]}]","[[0, 1], [0, 2], [0, 3], [0, 4], [1, 5]]","[0.6900165529698342, 0.0, 0.7237935870312946]",ok
CH3NH2,N_end,1.2,1.2000000000000004,3.0407200000000003,0.24626515483058387,6.701216247023055,0.20992797766754023,5.71243128415058,1.1730935417316803,"[{""element"": ""C"", ""xyz"": [0.0, 0.0, 0.0]}, {""element"": ""N"", ""xyz"": [1.47, 0.0, 0.0]}, {""element"": ""H"", ""xyz"": [-0.36333333333333334, 1.0276618553244492, 0.0]}, {""element"": ""H"", ""xyz"": [-0.36333333333333334, -0.5138309276622244, 0.8899812732112216]}, {""element"": ""H"", ""xyz"": [-0.36333333333333334, -0.513830927662225, -0.8899812732112213]}, {""element"": ""H"", ""xyz"": [1.8161243850455766, 0.5011224780519219, 0.8082191361678605]}, {""element"": ""H"", ""xyz"": [1.8161243850455766, 0.5011224780519219, -0.8082191361678605]}]","[{""element"": ""H"", ""xyz"": [2.6700000000000004, 0.0, 0.0]}, {""element"": ""H"", ""xyz"": [3.4114400000000002, 0.0, 0.0]}]","[[0, 1], [0, 2], [0, 3], [0, 4], [1, 5], [1, 6]]","[1.0, 0.0, 0.0]",ok
CH3NH2,N_end,1.5,1.5000000000000002,3.346869423535341,0.09671634960744427,2.6317859454701757,0.09024256101504328,2.4556251836074816,1.0717376426331897,"[{""element"": ""C"", ""xyz"": [0.0, 0.0, 0.0]}, {""element"": ""N"", ""xyz"": [1.47, 0.0, 0.0]}, {""element"": ""H"", ""xyz"": [-0.36333333333333334, 1.0276618553244492, 0.0]}, {""element"": ""H"", ""xyz"": [-0.36333333333333334, -0.5138309276622244, 0.8899812732112216]}, {""element"": ""H"", ""xyz"": [-0.36333333333333334, -0.513830927662225, -0.8899812732112213]}, {""element"": ""H"", ""xyz"": [1.8161243850455766, 0.5011224780519219, 0.8082191361678605]}, {""element"": ""H"", ""xyz"": [1.8161243850455766, 0.5011224780519219, -0.8082191361678605]}]","[{""element"": ""H"", ""xyz"": [2.976149423535341, 0.0, 0.0]}, {""element"": ""H"", ""xyz"": [3.717589423535341, 0.0, 0.0]}]","[[0, 1], [0, 2], [0, 3], [0, 4], [1, 5], [1, 6]]","[1.0, 0.0, 0.0]",ok
CH3NH2,N_end,1.85,1.8500000000000005,3.773714918492833,0.024350649144605586,0.6626149192143999,0.023867113992023813,0.6494572574139845,1.020259473044934,"[{""element"": ""C"", ""xyz"": [0.0, 0.0, 0.0]}, {""element"": ""N"", ""xyz"": [1.47, 0.0, 0.0]}, {""element"": ""H"", ""xyz"": [-0.36333333333333334, 1.0276618553244492, 0.0]}, {""element"": ""H"", ""xyz"": [-0.36333333333333334, -0.5138309276622244, 0.8899812732112216]}, {""element"": ""H"", ""xyz"": [-0.36333333333333334, -0.513830927662225, -0.8899812732112213]}, {""element"": ""H"", ""xyz"": [1.8161243850455766, 0.5011224780519219, 0.8082191361678605]}, {""element"": ""H"", ""xyz"": [1.8161243850455766, 0.5011224780519219, -0.8082191361678605]}]","[{""element"": ""H"", ""xyz"": [3.402994918492833, 0.0, 0.0]}, {""element"": ""H"", ""xyz"": [4.144434918492833, 0.0, 0.0]}]","[[0, 1], [0, 2], [0, 3], [0, 4], [1, 5], [1, 6]]","[1.0, 0.0, 0.0]",ok
CH3NH2,N_end,2.2,2.2000000000000006,4.1706936963399555,0.006402931993354655,0.17423265557796738,0.006364904278335281,0.17319786873652285,1.0059745933884365,"[{""element"": ""C"", ""xyz"": [0.0, 0.0, 0.0]}, {""element"": ""N"", ""xyz"": [1.47, 0.0, 0.0]}, {""element"": ""H"", ""xyz"": [-0.36333333333333334, 1.0276618553244492, 0.0]}, {""element"": ""H"", ""xyz"": [-0.36333333333333334, -0.5138309276622244, 0.8899812732112216]}, {""element"": ""H"", ""xyz"": [-0.36333333333333334, -0.513830927662225, -0.8899812732112213]}, {""element"": ""H"", ""xyz"": [1.8161243850455766, 0.5011224780519219, 0.8082191361678605]}, {""element"": ""H"", ""xyz"": [1.8161243850455766, 0.5011224780519219, -0.8082191361678605]}]","[{""element"": ""H"", ""xyz"": [3.7999736963399555, 0.0, 0.0]}, {""element"": ""H"", ""xyz"": [4.541413696339956, 0.0, 0.0]}]","[[0, 1], [0, 2], [0, 3], [0, 4], [1, 5], [1, 6]]","[1.0, 0.0, 0.0]",ok
CH3NH2,methyl_face,1.2,1.2000000000000002,1.5707200000000001,0.25697831142564415,6.992736089044993,0.21413465254733632,5.826900739116007,1.2000781207928821,"[{""element"": ""C"", ""xyz"": [0.0, 0.0, 0.0]}, {""element"": ""N"", ""xyz"": [1.47, 0.0, 0.0]}, {""element"": ""H"", ""xyz"": [-0.36333333333333334, 1.0276618553244492, 0.0]}, {""element"": ""H"", ""xyz"": [-0.36333333333333334, -0.5138309276622244, 0.8899812732112216]}, {""element"": ""H"", ""xyz"": [-0.36333333333333334, -0.513830927662225, -0.8899812732112213]}, {""element"": ""H"", ""xyz"": [1.8161243850455766, 0.5011224780519219, 0.8082191361678605]}, {""element"": ""H"", ""xyz"": [1.8161243850455766, 0.5011224780519219, -0.8082191361678605]}]","[{""element"": ""H"", ""xyz"": [-1.2000000000000002, 0.0, 0.0]}, {""element"": ""H"", ""xyz"": [-1.94144, 0.0, 0.0]}]","[[0, 1], [0, 2], [0, 3], [0, 4], [1, 5], [1, 6]]","[-1.0, 0.0, 0.0]",ok
CH3NH2,methyl_face,1.5,1.5000000000000002,1.8707200000000002,0.10728969687932129,2.919501381998185,0.09875334341780576,2.687215370824609,1.086441159013725,"[{""element"": ""C"", ""xyz"": [0.0, 0.0, 0.0]}, {""element"": ""N"", ""xyz"": [1.47, 0.0, 0.0]}, {""element"": ""H"", ""xyz"": [-0.36333333333333334, 1.0276618553244492, 0.0]}, {""element"": ""H"", ""xyz"": [-0.36333333333333334, -0.5138309276622244, 0.8899812732112216]}, {""element"": ""H"", ""xyz"": [-0.36333333333333334, -0.513830927662225, -0.8899812732112213]}, {""element"": ""H"", ""xyz"": [1.8161243850455766, 0.5011224780519219, 0.8082191361678605]}, {""element"": ""H"", ""xyz"": [1.8161243850455766, 0.5011224780519219, -0.8082191361678605]}]","[{""element"": ""H"", ""xyz"": [-1.5000000000000002, 0.0, 0.0]}, {""element"": ""H"", ""xyz"": [-2.2414400000000003, 0.0, 0.0]}]","[[0, 1], [0, 2], [0, 3], [0, 4], [1, 5], [1, 6]]","[-1.0, 0.0, 0.0]",ok
CH3NH2,methyl_face,1.85,1.8500000000000003,2.272367706636499,0.030566215501802534,0.8317490960976547,0.02976187978474868,0.8098620062294585,1.027025702773856,"[{""element"": ""C"", ""xyz"": [0.0, 0.0, 0.0]}, {""element"": ""N"", ""xyz"": [1.47, 0.0, 0.0]}, {""element"": ""H"", ""xyz"": [-0.36333333333333334, 1.0276618553244492, 0.0]}, {""element"": ""H"", ""xyz"": [-0.36333333333333334, -0.5138309276622244, 0.8899812732112216]}, {""element"": ""H"", ""xyz"": [-0.36333333333333334, -0.513830927662225, -0.8899812732112213]}, {""element"": ""H"", ""xyz"": [1.8161243850455766, 0.5011224780519219, 0.8082191361678605]}, {""element"": ""H"", ""xyz"": [1.8161243850455766, 0.5011224780519219, -0.8082191361678605]}]","[{""element"": ""H"", ""xyz"": [-1.9016477066364992, 0.0, 0.0]}, {""element"": ""H"", ""xyz"": [-2.643087706636499, 0.0, 0.0]}]","[[0, 1], [0, 2], [0, 3], [0, 4], [1, 5], [1, 6]]","[-1.0, 0.0, 0.0]",ok
