system,approach,contact_distance_A,stored_exch10_eV,rerun_exch10_eV,exch10_difference_eV,exchange_component_eV,electrostatics_eV,induction_eV,dispersion_eV,nonexchange_sum_eV,sapt_total_eV,component_sum_eV,total_minus_component_sum_eV,attractive_offset_from_exchange_eV,exchange_cancelled_percent,elapsed_s,basis,method,status,error
CH4,edge,1.85,0.4733405384873994,0.4733404837751626,-5.471223679665016e-08,0.4733404837751626,-0.13672785955313957,-0.05922462687762248,-0.08316890444695182,-0.27912139087771387,0.19421909289744868,0.1942190928974487,-2.7755575615628914e-17,0.2791213908777139,58.968417121552825,1.2860331000047154,jun-cc-pvdz,SAPT0,ok,
CH4,edge,2.2,0.13348056604375858,0.1334805581000224,-7.94373616885835e-09,0.1334805581000224,-0.0382261171919781,-0.014664286691591298,-0.03427305637002206,-0.08716346025359145,0.04631709784643097,0.046317097846430955,1.3877787807814457e-17,0.08716346025359144,65.30049131820105,1.2865996999971685,jun-cc-pvdz,SAPT0,ok,
CH4,face,1.2,7.380832558115903,7.380831862094783,-6.96021119850343e-07,7.380831862094783,-1.789487866842569,-1.4165743725088298,-0.8459612096502395,-4.052023449001639,3.3288084130931446,3.328808413093144,4.440892098500626e-16,4.052023449001638,54.89927862753965,1.1235610000003362,jun-cc-pvdz,SAPT0,ok,
CH4,face,1.5,3.133017048958555,3.133016717031486,-3.319270689416953e-07,3.133016717031486,-0.8661891614911327,-0.5078657349520438,-0.3939221388482515,-1.767977035291428,1.3650396817400579,1.3650396817400583,-4.440892098500626e-16,1.7679770352914284,56.430501174171056,1.1515651000008802,jun-cc-pvdz,SAPT0,ok,
CH4,face,1.85,0.9109432806320343,0.9109431748723119,-1.0575972242410359e-07,0.9109431748723119,-0.26223619668699744,-0.12274238088047201,-0.14446730194592552,-0.529445879513395,0.38149729535891697,0.38149729535891697,0.0,0.529445879513395,58.120626414222606,1.319528200001514,jun-cc-pvdz,SAPT0,ok,
CH4,face,2.2,0.24423761952940315,0.24423757865496684,-4.087443630784726e-08,0.24423757865496684,-0.0696639250636975,-0.02802883801804314,-0.055089306516173796,-0.15278206959791443,0.09145550905705241,0.09145550905705241,0.0,0.15278206959791443,62.55469385149321,1.3514394000012544,jun-cc-pvdz,SAPT0,ok,
CH4,off_axis,1.2,1.3283456809200478,1.3283455792382752,-1.0168177255742705e-07,1.3283455792382752,-0.23338253217668545,-0.28305749228294746,-0.18756075442873593,-0.7040007788883689,0.6243448003499065,0.6243448003499064,1.1102230246251565e-16,0.7040007788883688,52.99831533990349,1.3127936000018963,jun-cc-pvdz,SAPT0,ok,
CH4,off_axis,1.5,0.4966222683361671,0.4966222303909665,-3.794520064825946e-08,0.4966222303909665,-0.09472975592598629,-0.09328046652318536,-0.08782850703247946,-0.2758387294816511,0.22078350090931534,0.22078350090931537,-2.7755575615628914e-17,0.2758387294816511,55.54296859898856,1.3392027000008966,jun-cc-pvdz,SAPT0,ok,
CH4,off_axis,1.85,0.15276641881765432,0.1527664196900612,8.724068689680564e-10,0.1527664196900612,-0.028738114662024115,-0.024901775213651414,-0.03745237517342684,-0.09109226504910237,0.061674154640958816,0.06167415464095882,-6.938893903907228e-18,0.09109226504910237,59.628461041316605,1.3393437999984599,jun-cc-pvdz,SAPT0,ok,
CH4,off_axis,2.2,0.04583661980722679,0.04583662177045856,1.9632317715956304e-09,0.04583662177045856,-0.007414248397116835,-0.006598217671120602,-0.01730105963839326,-0.03131352570663069,0.014523096063827866,0.014523096063827866,0.0,0.03131352570663069,68.31551824094524,1.3152827000012621,jun-cc-pvdz,SAPT0,ok,
