pair,element_a,element_b,orientation,distance_A,exch10_hartree,exch10_eV,exch10_s2_hartree,exch10_s2_eV,exact_to_s2_ratio,status
H-H,H,H,side,1.7,0.04672740244179556,1.2715173961154218,0.044973718806454364,1.2237972333608842,1.038993520702351,ok
H-H,H,H,side,2.0,0.018255908743579366,0.4967685840930476,0.017976177827581576,0.4891567180928877,1.015561200978363,ok
H-H,H,H,side,2.35,0.005838901727022878,0.1588846101463859,0.005809335306652319,0.15808006686177137,1.0050894670060968,ok
H-C,H,C,end,1.35,0.1879830510571032,5.115279410014118,0.16329338620584366,4.4434394034625,1.1511981925595955,ok
H-C,H,C,end,1.6,0.09130195243234854,2.4844526926494597,0.08494350346753543,2.3114304819425273,1.0748550354677007,ok
H-C,H,C,end,1.9,0.03683424580695169,1.0023108897326263,0.03570548182249192,0.9715956569709311,1.0316131844984298,ok
H-C,H,C,end,2.2,0.014344217582571232,0.39032604503583807,0.01416014528628461,0.3853171826843968,1.012999322575095,ok
H-C,H,C,end,2.55,0.004597806208271075,0.12511268061746578,0.0045773353726640915,0.124555640802986,1.0044722166807432,ok
H-C,H,C,end,2.9,0.0014264017228217446,0.038814368221645204,0.0014242599722998186,0.03875608822095053,1.0015037637535145,ok
H-C,H,C,T,1.35,0.14475213999803344,3.9389063914198164,0.1303976227743195,3.548300078870649,1.1100826603914202,ok
H-C,H,C,T,1.6,0.06916658982910918,1.882118791157715,0.06551659364349735,1.7827973351546487,1.0557110188828338,ok
H-C,H,C,T,1.9,0.02736594472246878,0.7446652918294548,0.026725989097726,0.7272512121442865,1.0239450679412734,ok
H-C,H,C,T,2.2,0.010448496797700919,0.28431808205220843,0.0103453006200323,0.28150997100255803,1.0099751743771268,ok
H-C,H,C,T,2.55,0.003275526579464748,0.08913161891281515,0.003264228231107094,0.08882417519171332,1.0034612617616574,ok
H-C,H,C,T,2.9,0.0009945394704287728,0.027062797666717694,0.0009933863624058041,0.02703141999892135,1.0011607850345117,ok
H-C,H,C,side,1.35,0.3680836408282935,10.016066121408212,0.29175194278673355,7.938974803187199,1.2616321842194458,ok
H-C,H,C,side,1.6,0.1787128447318113,4.863024245116598,0.15805640775781427,4.300933960151258,1.1306902849876757,ok
H-C,H,C,side,1.9,0.07211238688502272,1.9622780126484727,0.0682661770253235,1.85761731057307,1.0563413688490635,ok
H-C,H,C,side,2.2,0.028018270536411503,0.7624159815108787,0.0273693988151225,0.7447592824787846,1.0237079274437872,ok
H-C,H,C,side,2.55,0.008934643741636482,0.2431240418239697,0.00886105494360375,0.24112158861732308,1.008304744581891,ok
H-C,H,C,side,2.9,0.002754605069574544,0.07495662250334956,0.0027469326662003263,0.0747478457716987,1.0027930802486071,ok
H-N,H,N,end,1.3,0.17459450248874672,4.7509584436474,0.15620617454597913,4.250586549578857,1.1177183168092695,ok
H-N,H,N,end,1.55,0.07886067680380257,2.145908336128298,0.07471200136979475,2.0330171264842694,1.055528902424572,ok
H-N,H,N,end,1.8,0.03452981217416567,0.9396040560726406,0.03366358169658454,0.9160327239691338,1.0257319760383374,ok
H-N,H,N,end,2.05,0.014756858427611715,0.4015545744511055,0.014586426488184541,0.3969168851186998,1.0116842833003155,ok
H-N,H,N,end,2.35,0.005172599075015079,0.14075359132587556,0.005149805012895951,0.14013333329743694,1.0044261990623038,ok
H-N,H,N,end,2.7,0.001478308517860029,0.040226824070223294,0.0014762578318047957,0.04017102205990508,1.0013891110421587,ok
H-N,H,N,T,1.3,0.18160195521055064,4.9416409462609066,0.1614851196752704,4.394233964463379,1.1245739271564654,ok
H-N,H,N,T,1.55,0.08474445428453939,2.306014077742074,0.07980516739464828,2.1716092344015023,1.0618918179253432,ok
H-N,H,N,T,1.8,0.038460590111577576,1.046565972774764,0.03733162110368044,1.0158451610411252,1.0302416282636553,ok
H-N,H,N,T,2.05,0.017061151283113044,0.4642575773660228,0.01681729076250178,0.45762179454952195,1.0145005830044285,ok
H-N,H,N,T,2.35,0.006257778066717869,0.170282816015132,0.0062212986469802,0.16929016043462078,1.005863634235816,ok
H-N,H,N,T,2.7,0.0018849058960305112,0.05129090237422634,0.0018811867237449851,0.05118969854064952,1.0019770351547677,ok
H-N,H,N,side,1.3,0.47161976288963825,12.833427529231223,0.35691080890687676,9.712037876533037,1.3213938920316946,ok
H-N,H,N,side,1.55,0.22648167194473012,6.162880252925195,0.19575459924997932,5.32675400961978,1.1569673091333716,ok
