donor_ch_A,forming_hh_A,reactant_diag_eV,product_diag_eV,signed_gap_product_minus_reactant_eV,abs_gap_eV,coupling_eV,reactant_covalent_eV,reactant_wall_total_eV,reactant_unoccupied_hh_wall_eV,product_covalent_eV,product_wall_total_eV,product_unoccupied_breaking_ch_wall_eV,lowest_h_state_component_eV,mixing_lowering_from_lower_diagonal_eV,full_energy_eV,state_count,candidate_edge_count,donor_edge_active
1.2900000000000003,1.0100000000000002,-5.9444391123682525,-2.334176166259356,3.6102629461088966,3.6102629461088966,1.894719274449583,-7.161514486954223,1.2170753745859706,1.2170753745859706,-6.624952215041379,4.290776048782023,4.290776048782023,-6.756264032527584,-0.8118249201593315,-14.527795046921842,2,3,1
1.3100000000000003,1.0100000000000002,-5.885605761388225,-2.556507111063376,3.329098650324849,3.329098650324849,1.894719274449583,-7.102681135974196,1.2170753745859708,1.2170753745859708,-6.624952215041379,4.068445103978003,4.068445103978003,-6.743096401188577,-0.8574906398003517,-14.514627415582835,2,3,1
1.3300000000000003,1.0100000000000002,-5.824580018323399,-2.7683273759728246,3.0562526423505743,3.0562526423505743,1.8947192744495904,-7.041655392909379,1.2170753745859808,1.2170753745859808,-6.624952215041398,3.856624839068574,3.856624839068574,-6.730612932374825,-0.9060329140514263,-14.502143946769083,2,3,1
1.3500000000000003,1.0100000000000002,-5.761736227691856,-2.9700552550972974,2.791680972594558,2.791680972594558,1.8947192744495782,-6.978811602277819,1.2170753745859633,1.2170753745859633,-6.624952215041365,3.6548969599440673,3.6548969599440673,-6.719261797102307,-0.9575255694104516,-14.490792811496567,2,3,1
1.3700000000000003,1.0100000000000002,-5.688999873539565,-3.1713311959315273,2.5176686776080377,2.5176686776080377,1.8928544030143424,-6.90607535442249,1.217075480882925,1.217075480882925,-6.624952215041398,3.453621019109871,3.453621019109871,-6.703392686509634,-1.014392812970069,-14.474923621510682,2,3,1
1.3900000000000003,1.0100000000000002,-5.576474101674358,-3.403670235461088,2.17280386621327,2.17280386621327,1.8819870225782154,-6.793581075040009,1.2171069733656517,1.2171069733656517,-6.624952215041398,3.2212819795803105,3.2212819795803105,-6.663121710895428,-1.0866476092210702,-14.43434222293995,2,3,1
1.4100000000000004,1.0100000000000002,-5.424881698793061,-3.662649652672287,1.7622320461207739,1.7622320461207739,1.860875005282381,-6.642479284123036,1.2175975853299754,1.2175975853299754,-6.624952215041379,2.962302562369092,2.962302562369092,-6.602702593508072,-1.177820894715011,-14.37202282875284,2,3,1
1.4300000000000004,1.0100000000000002,-5.237651676964341,-3.940238114066896,1.2974135628974452,1.2974135628974452,1.8284398009329998,-6.457984796485854,1.2203331195215128,1.2203331195215128,-6.624952215041343,2.6847141009744475,2.6847141009744475,-6.529051231244016,-1.2913995542796748,-14.292966906942151,2,3,1
1.4500000000000004,1.0100000000000002,-5.016753674328317,-4.228562564532957,0.7881911097953598,0.7881911097953598,1.783105877283057,-6.246071562475268,1.2293178881469502,1.2293178881469502,-6.624952215041379,2.396389650508422,2.396389650508422,-6.448795539230005,-1.432041864901688,-14.201972940883387,2,3,1
1.4700000000000004,1.0100000000000002,-4.762660839581146,-4.520133782929376,0.24252705665177032,0.24252705665177032,1.7228366925663756,-6.013248052142542,1.250587212561395,1.250587212561395,-6.624952215041398,2.104818432112022,2.104818432112022,-6.368496356636009,-1.6058355170548628,-14.104507371180318,2,3,1
