path_index,grid_i,grid_j,donor_ch_A,forming_hh_A,grid_energy_eV,relative_to_reactant_eV,reactant_diag_eV,product_diag_eV,signed_gap_product_minus_reactant_eV,abs_gap_eV,coupling_eV,reactant_covalent_eV,reactant_wall_total_eV,reactant_unoccupied_hh_wall_eV,product_covalent_eV,product_wall_total_eV,product_unoccupied_breaking_ch_wall_eV,lowest_h_state_component_eV,mixing_lowering_from_lower_diagonal_eV,full_energy_eV,state_count,candidate_edge_count,donor_edge_active
20,7,9,1.2800000000000002,1.0100000000000002,-14.534479736084695,0.7547882292597023,-5.972906706845767,-2.218935793875934,3.753970912969833,3.753970912969833,1.8947192744495904,-7.189982081431747,1.2170753745859804,1.2170753745859804,-6.624952215041398,4.406016421165464,4.406016421165464,-6.762948721690435,-0.7900420148446683,-14.534479736084695,2,3,1
21,7,8,1.2800000000000002,0.9700000000000003,-14.539186976403798,0.7500809889405993,-5.5368517173276475,-3.117558021978116,2.4192936953495314,2.4192936953495314,2.1241666802482864,-7.189982081431747,1.6531303641041,1.6531303641041,-7.4052758512013135,4.287717829223197,4.287717829223197,-6.771653597191776,-1.2348018798641283,-14.539186976403798,2,3,1
22,8,8,1.3200000000000003,0.9700000000000003,-14.573424390170182,0.7158435751742154,-5.419287727104891,-3.558542168653373,1.8607455584515176,1.8607455584515176,2.124166680248285,-7.072418091208984,1.6531303641040938,1.6531303641040938,-7.4052758512013055,3.8467336825479324,3.8467336825479324,-6.8078969645841525,-1.3886092374792618,-14.573424390170182,2,3,1
23,8,7,1.3200000000000003,0.9300000000000003,-14.577454718778958,0.7118132465654394,-5.098479412284595,-4.001879432283825,1.0965999800007697,1.0965999800007697,2.2011368978642287,-7.072418091202861,1.9739386789182665,1.9739386789182665,-7.826289947663035,3.82441051537921,3.82441051537921,-6.818578973107165,-1.72009956082257,-14.577454718778958,2,3,1
24,9,7,1.3600000000000003,0.9300000000000003,-14.662325893552842,0.6269420717915555,-4.9725365781843776,-4.403214576716575,0.5693220014678024,0.5693220014678024,2.2010194628961703,-6.946475257113749,1.973938678929372,1.973938678929372,-7.826289947668892,3.4230753709523167,3.4230753709523167,-6.907226509904957,-1.9346899317205795,-14.662325893552842,2,3,1
25,9,6,1.3600000000000003,0.8900000000000002,-14.609288570899935,0.6799793944444623,-4.749289418440666,-4.563577455210817,0.18571196322984918,0.18571196322984918,2.2014324614248193,-6.946475256962356,2.197185838521689,2.197185838521689,-7.974347796951929,3.4107703417411126,3.4107703417411126,-6.859823351374823,-2.110533932934157,-14.609288570899935,2,3,1
26,9,5,1.3600000000000003,0.8500000000000002,-14.550853406076373,0.7384145592680245,-4.506350133745847,-4.703123249097524,-0.19677311535167696,0.19677311535167696,2.2014324614248193,-6.946475257114008,2.440125123368161,2.440125123368161,-8.099967661024476,3.396844411926952,3.396844411926952,-6.808366605210804,-2.10524335611328,-14.550853406076373,2,3,1
27,10,5,1.4000000000000004,0.8500000000000002,-14.668955799625973,0.6203121657184241,-4.282118599862937,-5.167896643781169,-0.8857780439182319,0.8857780439182319,2.167159901681843,-6.722550553242378,2.440431953379442,2.440431953379442,-8.099967661024474,2.932071017243305,2.932071017243305,-6.936959864803252,-1.7690632210220834,-14.668955799625973,2,3,1
28,10,4,1.4000000000000004,0.8100000000000002,-14.628843820176979,0.6604241451674184,-4.017743384608212,-5.279882424117171,-1.2621390395089591,1.2621390395089591,2.1671599016818446,-6.7225505532423835,2.7048071686341713,2.7048071686341713,-8.197221394418703,2.9173389703015316,2.9173389703015316,-6.905986087399565,-1.626103663282394,-14.628843820176979,2,3,1
29,10,3,1.4000000000000004,0.7700000000000001,-14.570120224481506,0.7191477408628906,-3.7311488125080405,-5.354245125533856,-1.6230963130258154,1.6230963130258154,2.167159901681842,-6.722550553242375,2.991401740734334,2.991401740734334,-8.257046486379206,2.9028013608453507,2.9028013608453507,-6.856825843953619,-1.5025807184197628,-14.570120224481506,2,3,1
