path_index,grid_i,grid_j,donor_ch_A,forming_hh_A,path_energy_eV,relative_path_energy_eV,old_reactant_diag_eV,old_product_diag_eV,sapt_reactant_diag_eV,sapt_product_diag_eV,reactant_diag_shift_eV,product_diag_shift_eV,old_ground_component_eV,sapt_ground_component_eV,ground_component_shift_eV,sapt_gap_eV
15,6,13,1.2400000000000002,1.1700000000000004,-15.059683187451363,0.22958477789303444,-7.2882767269342335,-1.6287966801226519,-7.286449984299591,2.5118301159254615,0.001826742634642109,4.140626796048114,-7.288286159168108,-7.2864569510851025,0.0018292080830057955,9.798280100225053
16,7,13,1.2800000000000002,1.1700000000000004,-14.95345843279311,0.33580953255128776,-7.182048734600468,-1.9183178738309756,-7.1802219919658254,1.8841638621593662,0.0018267426346429971,3.802481735990342,-7.182058875986291,-7.180229522813339,0.0018293531729520751,9.064385854125192
17,7,12,1.2800000000000002,1.1300000000000003,-14.845271072327991,0.443996893016406,-7.08289395381796,-2.246596594786131,-7.063819059061588,1.5379187494886857,0.01907489475637192,3.7845153442748165,-7.0943150757190345,-7.0720421626274845,0.022272913091549995,8.601737808550274
18,7,11,1.2800000000000002,1.0900000000000003,-14.678635509977651,0.6106324553667459,-6.84931189719836,-2.913352371354236,-6.806165101766276,0.6357434858392157,0.043146795432083884,3.5490958571934517,-6.9927974235211225,-6.905422179085896,0.08737524443522648,7.441908587605492
19,7,10,1.2800000000000002,1.0500000000000003,-14.561569934250477,0.7276980310939205,-6.478428355191309,-3.8100545508192996,-6.4244354721515595,-0.8336675145533157,0.053992883039749806,2.976387036265984,-7.008626002301993,-6.788608022288727,0.22001798001326556,5.590767957598244
20,7,9,1.2800000000000002,1.0100000000000002,-14.534479736084695,0.7547882292597023,-6.003560980263129,-4.755675912886706,-5.972906706845767,-2.218935793875934,0.03065427341736182,2.536740119010772,-7.167541773957426,-6.762948721690435,0.40459305226699094,3.753970912969833
21,7,8,1.2800000000000002,0.9700000000000003,-14.539186976403798,0.7500809889405993,-5.497166865176794,-5.535999549046622,-5.5368517173276475,-3.117558021978116,-0.03968485215085327,2.418441527068506,-7.395105706051529,-6.771653597191776,0.6234521088597536,2.4192936953495314
22,8,8,1.3200000000000003,0.9700000000000003,-14.573424390170182,0.7158435751742154,-5.379602874954039,-5.786692403428142,-5.419287727104891,-3.558542168653373,-0.03968485215085149,2.228150234774769,-7.472565606644901,-6.8078969645841525,0.6646686420607484,1.8607455584515176
23,8,7,1.3200000000000003,0.9300000000000003,-14.577454718778958,0.7118132465654394,-4.945491657862371,-6.207706499889872,-5.098479412284595,-4.001879432283825,-0.1529877544222238,2.2058270676060463,-7.6228422055649965,-6.818578973107165,0.8042632324578314,1.0965999800007697
24,9,7,1.3600000000000003,0.9300000000000003,-14.662325893552842,0.6269420717915555,-4.819548823773259,-6.424927961963203,-4.9725365781843776,-4.403214576716575,-0.1529877544111189,2.0217133852466276,-7.727641116917995,-6.907226509904957,0.8204146070130376,0.5693220014678024
25,9,6,1.3600000000000003,0.8900000000000002,-14.609288570899935,0.6799793944444623,-4.45084535681578,-6.572985811246243,-4.749289418440666,-4.563577455210817,-0.29844406162488646,2.0094083560354257,-7.729053820244289,-6.859823351374823,0.8692304688694659,0.18571196322984918
26,9,5,1.3600000000000003,0.8500000000000002,-14.550853406076373,0.7384145592680245,-4.019325523716134,-6.698605675318792,-4.506350133745847,-4.703123249097524,-0.48702461002971287,1.995482426221268,-7.722113386704995,-6.808366605210804,0.9137467814941918,0.19677311535167696
27,10,5,1.4000000000000004,0.8500000000000002,-14.668955799625973,0.6203121657184241,-3.7954008198445237,-6.92346780876596,-4.282118599862937,-5.167896643781169,-0.48671778001841304,1.755571164984791,-7.833085214394433,-6.936959864803252,0.8961253495911814,0.8857780439182319
28,10,4,1.4000000000000004,0.8100000000000002,-14.628843820176979,0.6604241451674184,-3.289266811439216,-7.020721542160183,-4.017743384608212,-5.279882424117171,-0.7284765731689964,1.740839118043012,-7.829631835543784,-6.905986087399565,0.9236457481442191,1.2621390395089591
29,10,3,1.4000000000000004,0.7700000000000001,-14.570120224481506,0.7191477408628906,-2.6956170768851067,-7.080546634120694,-3.7311488125080405,-5.354245125533856,-1.0355317356229339,1.7263015085868378,-7.800065682586531,-6.856825843953619,0.9432398386329126,1.6230963130258154
30,11,3,1.4400000000000004,0.7700000000000001,-14.747827245707452,0.5414407196369453,-2.32812511485033,-7.323730951444258,-3.3477453268653563,-5.916913401194222,-1.0196202120150262,1.406817550250036,-7.9213966296460425,-7.066451026394153,0.8549456032518892,2.5691680743288656
31,11,2,1.4400000000000004,0.7300000000000001,-14.686938479378128,0.6023294859662691,-1.6318272935465536,-7.335152759337209,-3.0366851908313626,-5.939901705789428,-1.404857897284809,1.3952510535477813,-7.870950248413669,-7.014547325464294,0.8564029229493748,2.903216514958065
32,12,2,1.4800000000000004,0.7300000000000001,-14.887819291465053,0.4014486738793437,-1.1678873622823946,-7.5725254735633225,-2.452840294047539,-6.534146016752269,-1.2849529317651442,1.0383794568110538,-7.982950695331764,-7.275770031346795,0.7071806639849694,4.08130572270473
33,13,2,1.5200000000000005,0.7300000000000001,-15.085765539119295,0.20350242622510173,-0.6613390006498943,-7.785618049935131,-1.6006910755429002,-7.099378947520649,-0.939352074893006,0.6862391024144818,-8.06428833740483,-7.5433031692663075,0.5209851681385231,5.498687871977749
34,14,2,1.5600000000000005,0.7300000000000001,-15.305238065704174,-0.01597010035977675,-0.1656756541969493,-7.962411027193216,-0.5412141753929083,-7.5547063634199025,-0.375538521195959,0.4077046637733135,-8.11876276448642,-7.774538555523094,0.3442242089633254,7.013492188026994
35,15,2,1.6000000000000005,0.7300000000000001,-15.54720840438133,-0.25794043903693264,0.2721815699407184,-8.097182477570449,0.43955376281021685,-7.883728848128634,0.16737219286949845,0.21345362944181545,-8.160506050087967,-7.964976118121535,0.19552993196643254,8.32328261093885
36,16,2,1.6400000000000006,0.7300000000000001,-15.77715347551096,-0.48788551016656356,0.6166134844393696,-8.189674575389573,1.0666556242958007,-8.096717609292785,0.45004213985643116,0.0929569660967875,-8.203845127595017,-8.11412721789526,0.0897179096997558,9.163373233588587
37,17,2,1.6800000000000006,0.7300000000000001,-15.949661043845236,-0.6603930785008387,0.8461508332780969,-8.243844199732226,1.3613570350986404,-8.215124042931803,0.5152062018205434,0.02872015680042317,-8.244767609177067,-8.216244863453912,0.02852274572315494,9.576481078030444
38,18,2,1.7200000000000006,0.7300000000000001,-16.033555951611614,-0.7442879862672171,0.9543347455467179,-8.266443157194479,1.4733651184640895,-8.264079764352347,0.5190303729173715,0.0023633928421311623,-8.26644410556755,-8.26408091275064,0.002363192816909887,9.737444882816437
39,19,2,1.7600000000000007,0.7300000000000001,-16.041697293606912,-0.7524293282625152,nan,-8.268468294280588,nan,-8.268468294280588,nan,0.0,-8.268468294280588,-8.268468294280588,0.0,nan
